基金代码,基金名称,单位净值,日增长率,近1月收益,近3月收益,近1年收益,更新时间
016600,"试数据 * @type {arry} *//*2025-11-01 11:09:47*/var ishb=false;/*基金或股票信息*/var fS_name = ""万家品质生活混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
160424,"试数据 * @type {arry} *//*2025-11-01 11:38:48*/var ishb=false;/*基金或股票信息*/var fS_name = ""华安创业板50ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
016616,"试数据 * @type {arry} *//*2025-11-01 11:09:50*/var ishb=false;/*基金或股票信息*/var fS_name = ""国泰估值优势混合(LOF)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
017811,"试数据 * @type {arry} *//*2025-11-01 11:14:22*/var ishb=false;/*基金或股票信息*/var fS_name = ""东方人工智能主题混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
017437,"试数据 * @type {arry} *//*2025-11-01 11:12:58*/var ishb=false;/*基金或股票信息*/var fS_name = ""华宝纳斯达克精选股票发起式(QDII)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
519022,"试数据 * @type {arry} *//*2025-11-01 11:57:38*/var ishb=false;/*基金或股票信息*/var fS_name = ""国泰金泰灵活配置混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
018994,"试数据 * @type {arry} *//*2025-11-01 11:18:15*/var ishb=false;/*基金或股票信息*/var fS_name = ""中欧数字经济混合发起C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008888,"试数据 * @type {arry} *//*2025-11-01 13:13:09*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏国证半导体芯片ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
016465,"试数据 * @type {arry} *//*2025-11-01 11:09:15*/var ishb=false;/*基金或股票信息*/var fS_name = ""兴证全球合瑞混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
016283,"试数据 * @type {arry} *//*2025-11-01 11:08:33*/var ishb=false;/*基金或股票信息*/var fS_name = ""华泰柏瑞积极优选股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
016238,"试数据 * @type {arry} *//*2025-11-01 11:08:21*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏数字经济龙头混合发起式C",0.0,0.0,0.0,0.0,0.0,2025-11-01
016371,"试数据 * @type {arry} *//*2025-11-01 11:08:53*/var ishb=false;/*基金或股票信息*/var fS_name = ""信澳业绩驱动混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015971,"试数据 * @type {arry} *//*2025-11-01 11:07:19*/var ishb=false;/*基金或股票信息*/var fS_name = ""华泰柏瑞景气驱动混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
016049,"试数据 * @type {arry} *//*2025-11-01 11:07:38*/var ishb=false;/*基金或股票信息*/var fS_name = ""华商甄选回报混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015947,"试数据 * @type {arry} *//*2025-11-01 11:07:14*/var ishb=false;/*基金或股票信息*/var fS_name = ""兴业研究精选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
016068,"试数据 * @type {arry} *//*2025-11-01 11:07:42*/var ishb=false;/*基金或股票信息*/var fS_name = ""鹏华新能源汽车混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015868,"试数据 * @type {arry} *//*2025-11-01 11:06:55*/var ishb=false;/*基金或股票信息*/var fS_name = ""国泰海通中证1000指数增强C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015877,"试数据 * @type {arry} *//*2025-11-01 11:06:56*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国中证消费电子主题ETF发起式联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015686,"试数据 * @type {arry} *//*2025-11-01 11:06:14*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国新兴产业股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015690,"试数据 * @type {arry} *//*2025-11-01 11:06:15*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国中小盘精选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015642,"试数据 * @type {arry} *//*2025-11-01 11:06:03*/var ishb=false;/*基金或股票信息*/var fS_name = ""银华数字经济股票发起式C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015508,"试数据 * @type {arry} *//*2025-11-01 11:05:31*/var ishb=false;/*基金或股票信息*/var fS_name = ""兴业中证500指数增强C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015751,"试数据 * @type {arry} *//*2025-11-01 11:06:29*/var ishb=false;/*基金或股票信息*/var fS_name = ""景顺长城品质长青混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015968,"试数据 * @type {arry} *//*2025-11-01 11:07:18*/var ishb=false;/*基金或股票信息*/var fS_name = ""永赢半导体产业智选混合发起C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015683,"试数据 * @type {arry} *//*2025-11-01 11:06:13*/var ishb=false;/*基金或股票信息*/var fS_name = ""景顺长城科技创新混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015454,"试数据 * @type {arry} *//*2025-11-01 11:05:16*/var ishb=false;/*基金或股票信息*/var fS_name = ""中欧中证500指数增强C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015152,"试数据 * @type {arry} *//*2025-11-01 11:04:04*/var ishb=false;/*基金或股票信息*/var fS_name = ""东吴嘉禾优势精选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015039,"试数据 * @type {arry} *//*2025-11-01 11:03:34*/var ishb=false;/*基金或股票信息*/var fS_name = ""长信金利趋势混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014985,"试数据 * @type {arry} *//*2025-11-01 11:03:20*/var ishb=false;/*基金或股票信息*/var fS_name = ""华安创业板50指数C",0.0,0.0,0.0,0.0,0.0,2025-11-01
015144,"试数据 * @type {arry} *//*2025-11-01 11:04:02*/var ishb=false;/*基金或股票信息*/var fS_name = ""中欧智能制造混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014954,"试数据 * @type {arry} *//*2025-11-01 11:03:11*/var ishb=false;/*基金或股票信息*/var fS_name = ""信澳研究优选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014855,"试数据 * @type {arry} *//*2025-11-01 11:02:47*/var ishb=false;/*基金或股票信息*/var fS_name = ""嘉实中证半导体指数增强发起式C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014544,"试数据 * @type {arry} *//*2025-11-01 11:01:27*/var ishb=false;/*基金或股票信息*/var fS_name = ""汇添富中证沪港深云计算产业ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014642,"试数据 * @type {arry} *//*2025-11-01 11:01:52*/var ishb=false;/*基金或股票信息*/var fS_name = ""摩根新兴动力混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014243,"试数据 * @type {arry} *//*2025-11-01 11:00:11*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国新材料新能源混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014156,"试数据 * @type {arry} *//*2025-11-01 10:59:48*/var ishb=false;/*基金或股票信息*/var fS_name = ""国泰海通中证500指数增强C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014662,"试数据 * @type {arry} *//*2025-11-01 11:01:57*/var ishb=false;/*基金或股票信息*/var fS_name = ""天弘上海金ETF发起联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014162,"试数据 * @type {arry} *//*2025-11-01 10:59:49*/var ishb=false;/*基金或股票信息*/var fS_name = ""万家人工智能混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014728,"试数据 * @type {arry} *//*2025-11-01 11:02:15*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达成长动力混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014143,"试数据 * @type {arry} *//*2025-11-01 10:59:44*/var ishb=false;/*基金或股票信息*/var fS_name = ""银河创新成长混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014377,"试数据 * @type {arry} *//*2025-11-01 11:00:43*/var ishb=false;/*基金或股票信息*/var fS_name = ""东吴新能源汽车股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014130,"试数据 * @type {arry} *//*2025-11-01 10:59:40*/var ishb=false;/*基金或股票信息*/var fS_name = ""融通中证云计算与大数据主题指数(LOF)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014345,"试数据 * @type {arry} *//*2025-11-01 11:00:35*/var ishb=false;/*基金或股票信息*/var fS_name = ""鹏华中证500指数增强C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013811,"试数据 * @type {arry} *//*2025-11-01 10:58:14*/var ishb=false;/*基金或股票信息*/var fS_name = ""广发科创板50ETF发起联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013841,"试数据 * @type {arry} *//*2025-11-01 10:58:22*/var ishb=false;/*基金或股票信息*/var fS_name = ""银华集成电路混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013642,"试数据 * @type {arry} *//*2025-11-01 10:57:30*/var ishb=false;/*基金或股票信息*/var fS_name = ""博道成长智航股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013620,"试数据 * @type {arry} *//*2025-11-01 10:57:23*/var ishb=false;/*基金或股票信息*/var fS_name = ""华安媒体互联网混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013533,"试数据 * @type {arry} *//*2025-11-01 10:56:59*/var ishb=false;/*基金或股票信息*/var fS_name = ""广发科技创新混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013277,"试数据 * @type {arry} *//*2025-11-01 13:36:08*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国创业板ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013466,"试数据 * @type {arry} *//*2025-11-01 13:37:01*/var ishb=false;/*基金或股票信息*/var fS_name = ""博时智选量化多因子股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013311,"试数据 * @type {arry} *//*2025-11-01 13:36:18*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏科创创业50ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013340,"试数据 * @type {arry} *//*2025-11-01 13:36:27*/var ishb=false;/*基金或股票信息*/var fS_name = ""创金合信芯片产业股票发起C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012922,"试数据 * @type {arry} *//*2025-11-01 13:34:31*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达全球成长精选混合(QDII)人民币C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012970,"试数据 * @type {arry} *//*2025-11-01 13:34:46*/var ishb=false;/*基金或股票信息*/var fS_name = ""鹏华国证半导体芯片ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013010,"试数据 * @type {arry} *//*2025-11-01 13:34:58*/var ishb=false;/*基金或股票信息*/var fS_name = ""万家港股通精选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012895,"试数据 * @type {arry} *//*2025-11-01 13:34:22*/var ishb=false;/*基金或股票信息*/var fS_name = ""天弘中证科创创业50ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012734,"试数据 * @type {arry} *//*2025-11-01 13:33:32*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达中证人工智能主题ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012651,"试数据 * @type {arry} *//*2025-11-01 13:33:10*/var ishb=false;/*基金或股票信息*/var fS_name = ""博时半导体主题混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012908,"试数据 * @type {arry} *//*2025-11-01 13:34:27*/var ishb=false;/*基金或股票信息*/var fS_name = ""鹏扬中证科创创业50ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012429,"试数据 * @type {arry} *//*2025-11-01 13:32:02*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏核心制造混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012553,"试数据 * @type {arry} *//*2025-11-01 13:32:41*/var ishb=false;/*基金或股票信息*/var fS_name = ""天弘芯片产业ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012125,"试数据 * @type {arry} *//*2025-11-01 13:30:28*/var ishb=false;/*基金或股票信息*/var fS_name = ""博道盛彦混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011840,"试数据 * @type {arry} *//*2025-11-01 13:29:00*/var ishb=false;/*基金或股票信息*/var fS_name = ""天弘中证人工智能C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011823,"试数据 * @type {arry} *//*2025-11-01 13:28:54*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达产业升级混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011615,"试数据 * @type {arry} *//*2025-11-01 13:27:53*/var ishb=false;/*基金或股票信息*/var fS_name = ""工银科创ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
012630,"试数据 * @type {arry} *//*2025-11-01 13:33:04*/var ishb=false;/*基金或股票信息*/var fS_name = ""广发国证半导体芯片ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011613,"试数据 * @type {arry} *//*2025-11-01 13:27:53*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏科创50ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011892,"试数据 * @type {arry} *//*2025-11-01 13:29:16*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达先锋成长混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011609,"试数据 * @type {arry} *//*2025-11-01 13:27:51*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达上证科创50联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011499,"试数据 * @type {arry} *//*2025-11-01 13:27:17*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国沪深300基本面精选股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011452,"试数据 * @type {arry} *//*2025-11-01 13:27:01*/var ishb=false;/*基金或股票信息*/var fS_name = ""华泰柏瑞质量成长C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011301,"试数据 * @type {arry} *//*2025-11-01 13:26:16*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达智造优势混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011412,"试数据 * @type {arry} *//*2025-11-01 13:26:51*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达远见成长混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011584,"试数据 * @type {arry} *//*2025-11-01 13:27:43*/var ishb=false;/*基金或股票信息*/var fS_name = ""大成港股精选混合(QDII)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011237,"试数据 * @type {arry} *//*2025-11-01 13:25:55*/var ishb=false;/*基金或股票信息*/var fS_name = ""摩根行业睿选股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
014320,"试数据 * @type {arry} *//*2025-11-01 11:00:29*/var ishb=false;/*基金或股票信息*/var fS_name = ""德邦半导体产业混合发起式C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011370,"试数据 * @type {arry} *//*2025-11-01 13:26:38*/var ishb=false;/*基金或股票信息*/var fS_name = ""华商均衡成长混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011306,"试数据 * @type {arry} *//*2025-11-01 13:26:18*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国低碳新经济混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011145,"试数据 * @type {arry} *//*2025-11-01 13:25:25*/var ishb=false;/*基金或股票信息*/var fS_name = ""华安汇宏精选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010865,"试数据 * @type {arry} *//*2025-11-01 13:23:52*/var ishb=false;/*基金或股票信息*/var fS_name = ""泓德卓远混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010827,"试数据 * @type {arry} *//*2025-11-01 13:23:40*/var ishb=false;/*基金或股票信息*/var fS_name = ""大成产业趋势混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011120,"试数据 * @type {arry} *//*2025-11-01 13:25:16*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国创新科技混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011068,"试数据 * @type {arry} *//*2025-11-01 13:24:58*/var ishb=false;/*基金或股票信息*/var fS_name = ""华宝资源优选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011036,"试数据 * @type {arry} *//*2025-11-01 13:24:47*/var ishb=false;/*基金或股票信息*/var fS_name = ""嘉实中证稀土产业ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011117,"试数据 * @type {arry} *//*2025-11-01 13:25:15*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国沪港深业绩驱动混合型C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010655,"试数据 * @type {arry} *//*2025-11-01 13:22:46*/var ishb=false;/*基金或股票信息*/var fS_name = ""天弘医药创新C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010372,"试数据 * @type {arry} *//*2025-11-01 13:21:17*/var ishb=false;/*基金或股票信息*/var fS_name = ""大成成长进取混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010422,"试数据 * @type {arry} *//*2025-11-01 13:21:33*/var ishb=false;/*基金或股票信息*/var fS_name = ""海富通消费优选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010392,"试数据 * @type {arry} *//*2025-11-01 13:21:25*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达战略新兴产业股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010236,"试数据 * @type {arry} *//*2025-11-01 13:20:35*/var ishb=false;/*基金或股票信息*/var fS_name = ""广发电子信息传媒股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010791,"试数据 * @type {arry} *//*2025-11-01 13:23:28*/var ishb=false;/*基金或股票信息*/var fS_name = ""海富通均衡甄选混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010214,"试数据 * @type {arry} *//*2025-11-01 13:20:27*/var ishb=false;/*基金或股票信息*/var fS_name = ""中欧互联网先锋混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
010004,"试数据 * @type {arry} *//*2025-11-01 13:19:16*/var ishb=false;/*基金或股票信息*/var fS_name = ""景顺长城电子信息产业股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
009505,"试数据 * @type {arry} *//*2025-11-01 13:16:35*/var ishb=false;/*基金或股票信息*/var fS_name = ""富国上海金ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
009995,"试数据 * @type {arry} *//*2025-11-01 13:19:14*/var ishb=false;/*基金或股票信息*/var fS_name = ""嘉实创新先锋混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
009708,"试数据 * @type {arry} *//*2025-11-01 13:17:44*/var ishb=false;/*基金或股票信息*/var fS_name = ""工银新兴制造混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011400,"试数据 * @type {arry} *//*2025-11-01 13:26:47*/var ishb=false;/*基金或股票信息*/var fS_name = ""汇添富数字未来混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
009034,"试数据 * @type {arry} *//*2025-11-01 13:14:00*/var ishb=false;/*基金或股票信息*/var fS_name = ""建信上海金ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008920,"试数据 * @type {arry} *//*2025-11-01 13:13:20*/var ishb=false;/*基金或股票信息*/var fS_name = ""永赢科技驱动C",0.0,0.0,0.0,0.0,0.0,2025-11-01
009478,"试数据 * @type {arry} *//*2025-11-01 13:16:28*/var ishb=false;/*基金或股票信息*/var fS_name = ""中银上海金ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008987,"试数据 * @type {arry} *//*2025-11-01 13:13:43*/var ishb=false;/*基金或股票信息*/var fS_name = ""广发上海金ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008989,"试数据 * @type {arry} *//*2025-11-01 13:13:43*/var ishb=false;/*基金或股票信息*/var fS_name = ""大成科技创新混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008532,"试数据 * @type {arry} *//*2025-11-01 13:11:15*/var ishb=false;/*基金或股票信息*/var fS_name = ""惠升惠民混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008319,"试数据 * @type {arry} *//*2025-11-01 10:29:41*/var ishb=false;/*基金或股票信息*/var fS_name = ""博道久航混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008419,"试数据 * @type {arry} *//*2025-11-01 13:10:41*/var ishb=false;/*基金或股票信息*/var fS_name = ""惠升惠泽混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008282,"试数据 * @type {arry} *//*2025-11-01 13:09:56*/var ishb=false;/*基金或股票信息*/var fS_name = ""国泰CES半导体芯片行业ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008586,"试数据 * @type {arry} *//*2025-11-01 13:11:34*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏人工智能ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008182,"试数据 * @type {arry} *//*2025-11-01 13:09:22*/var ishb=false;/*基金或股票信息*/var fS_name = ""方正富邦信泓混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
013305,"试数据 * @type {arry} *//*2025-11-01 13:36:17*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达中证科创创业50联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
011329,"试数据 * @type {arry} *//*2025-11-01 13:26:26*/var ishb=false;/*基金或股票信息*/var fS_name = ""景顺长城新能源产业股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007950,"试数据 * @type {arry} *//*2025-11-01 13:08:01*/var ishb=false;/*基金或股票信息*/var fS_name = ""招商量化精选股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008087,"试数据 * @type {arry} *//*2025-11-01 13:08:49*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏中证5G通信主题ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008021,"试数据 * @type {arry} *//*2025-11-01 13:08:26*/var ishb=false;/*基金或股票信息*/var fS_name = ""华富中证人工智能产业ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
008327,"试数据 * @type {arry} *//*2025-11-01 13:10:13*/var ishb=false;/*基金或股票信息*/var fS_name = ""东财通信C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007818,"试数据 * @type {arry} *//*2025-11-01 13:07:14*/var ishb=false;/*基金或股票信息*/var fS_name = ""国泰中证全指通信设备ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007509,"试数据 * @type {arry} *//*2025-11-01 13:05:18*/var ishb=false;/*基金或股票信息*/var fS_name = ""华商润丰灵活配置混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007491,"试数据 * @type {arry} *//*2025-11-01 13:05:11*/var ishb=false;/*基金或股票信息*/var fS_name = ""南方信息创新混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007127,"试数据 * @type {arry} *//*2025-11-01 13:02:45*/var ishb=false;/*基金或股票信息*/var fS_name = ""博道远航混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007301,"试数据 * @type {arry} *//*2025-11-01 13:03:59*/var ishb=false;/*基金或股票信息*/var fS_name = ""国联安中证半导体ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007465,"试数据 * @type {arry} *//*2025-11-01 13:05:02*/var ishb=false;/*基金或股票信息*/var fS_name = ""交银创业板50指数C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007450,"试数据 * @type {arry} *//*2025-11-01 13:04:56*/var ishb=false;/*基金或股票信息*/var fS_name = ""兴全多维价值混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
007029,"试数据 * @type {arry} *//*2025-11-01 13:02:05*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达中证500ETF联接发起式C",0.0,0.0,0.0,0.0,0.0,2025-11-01
006888,"试数据 * @type {arry} *//*2025-11-01 13:01:08*/var ishb=false;/*基金或股票信息*/var fS_name = ""诺德新生活混合C",0.0,0.0,0.0,0.0,0.0,2025-11-01
006503,"试数据 * @type {arry} *//*2025-11-01 12:58:26*/var ishb=false;/*基金或股票信息*/var fS_name = ""财通集成电路产业股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
006594,"试数据 * @type {arry} *//*2025-11-01 12:59:08*/var ishb=false;/*基金或股票信息*/var fS_name = ""博道中证500增强C",0.0,0.0,0.0,0.0,0.0,2025-11-01
006328,"试数据 * @type {arry} *//*2025-11-01 12:57:18*/var ishb=false;/*基金或股票信息*/var fS_name = ""易方达中证海外互联网50ETF联接(QDII)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
006249,"试数据 * @type {arry} *//*2025-11-01 12:56:45*/var ishb=false;/*基金或股票信息*/var fS_name = ""华夏创业板ETF联接C",0.0,0.0,0.0,0.0,0.0,2025-11-01
006166,"试数据 * @type {arry} *//*2025-11-01 12:56:14*/var ishb=false;/*基金或股票信息*/var fS_name = ""建信中证1000指数增强C",0.0,0.0,0.0,0.0,0.0,2025-11-01
005963,"试数据 * @type {arry} *//*2025-11-01 12:54:51*/var ishb=false;/*基金或股票信息*/var fS_name = ""宝盈人工智能股票C",0.0,0.0,0.0,0.0,0.0,2025-11-01
005491,"试数据 * @type {arry} *//*2025-11-01 12:51:32*/var ishb=false;/*基金或股票信息*/var fS_name = ""兴全合宜混合(LOF)C",0.0,0.0,0.0,0.0,0.0,2025-11-01
