基金代码,成立日期,基金经理(现任),类型,管理人,资产规模,截止至,起始期,截止期,基金经理(变动),任职期间,任职回报
005494,2018-01-23,刘俊文,混合型-灵活,鑫元基金,1.01亿元,,,,,,
005551,2018-02-13,单柏霖,混合型-灵活,汇安基金,4.55亿元,,,,,,
005608,2018-04-19,喻银尤,指数型-股票,华宝基金,0.24亿元,,,,,,
005391,2018-03-21,赵栩,指数型-股票,工银瑞信基金,3.15亿元,,,,,,
005627,2022-01-25,牛志冬,指数型-股票,富国基金,0.88亿元,,,,,,
005636,2018-04-03,黄瑞庆,股票型,博时基金,2.24亿元,,,,,,
005633,2018-03-16,叶乐天,指数型-股票,建信基金,8.07亿元,,,,,,
005661,2018-10-22,刘杰,股票型,嘉实基金,3.75亿元,,,,,,
005763,2018-04-23,刘金辉,股票型,中欧基金,19.60亿元,,,,,,
005776,2018-09-05,张一然,混合型-灵活,中加基金,0.70亿元,,,,,,
005727,2018-03-06,张超梁,指数型-股票,嘉实基金,0.07亿元,,,,,,
005787,2018-03-21,周蔚文,混合型-偏股,中欧基金,2.52亿元,,,,,,
005795,2018-03-31,刘钊,指数型-股票,博时基金,1.38亿元,,,,,,
005874,2018-06-13,葛鲁禹,指数型-股票,建信基金,0.57亿元,,,,,,
005885,2018-04-18,倪超,股票型,金鹰基金,3.01亿元,,,,,,
005905,2018-06-07,田荣,混合型-偏股,华泰保兴基金,1.34亿元,,,,,,
005959,2018-06-25,沈犁,混合型-灵活,财通基金,3.42亿元,,,,,,
005919,2018-04-24,陈瑶,指数型-股票,天弘基金,7.00亿元,,,,,,
005961,2018-06-26,黄瑞庆,股票型,博时基金,0.61亿元,,,,,,
006080,2018-12-26,吴昊,股票型,海富通基金,1.45亿元,,,,,,
006087,2018-06-13,胡亦清,指数型-股票,华泰柏瑞基金,1.76亿元,,,,,,
006101,2018-08-22,黄维,混合型-灵活,平安基金,2.08亿元,,,,,,
006104,2018-06-19,笪篁,混合型-灵活,华泰柏瑞基金,1.04亿元,,,,,,
006234,2019-10-23,耿嘉洲,混合型-偏股,万家基金,0.58亿元,,,,,,
006166,2018-11-22,叶乐天赵云煜,指数型-股票,建信基金,5.94亿元,,,,,,
006215,2018-09-05,李严,指数型-股票,平安基金,2.82亿元,,,,,,
006269,2019-03-26,欧子辰,混合型-偏股,永赢基金,2.49亿元,,,,,,
006249,2018-08-14,严筱娴,指数型-股票,华夏基金,12.50亿元,,,,,,
006315,2019-05-08,王喆叶天垚,混合型-偏股,国联基金,1.19亿元,,,,,,
006328,2019-01-18,余海燕,指数型-海外股票,易方达基金,23.44亿元,,,,,,
006382,2018-09-19,荣膺,指数型-股票,华夏基金,2.52亿元,,,,,,
006441,2020-05-09,王鹏,指数型-股票,中信建投基金,1.48亿元,,,,,,
006433,2018-09-15,王华,混合型-灵活,平安基金,0.24亿元,,,,,,
006523,2019-02-28,唐家伟,混合型-偏股,财通基金,0.38亿元,,,,,,
006503,2018-11-29,金梓才,股票型,财通基金,5.56亿元,,,,,,
006649,2019-04-30,柳预才,混合型-偏股,汇安基金,4.11亿元,,,,,,
006616,2019-04-24,夏雨马丽娜,混合型-偏股,工银瑞信基金,1.83亿元,,,,,,
006730,2019-05-23,乔亮,指数型-股票,万家基金,2.71亿元,,,,,,
006733,2018-12-10,尹浩,指数型-股票,博时基金,4.13亿元,,,,,,
006594,2019-01-03,杨梦,指数型-股票,博道基金,10.12亿元,,,,,,
006905,2019-05-17,薛小波,混合型-偏股,泰康基金,3.40亿元,,,,,,
006910,2019-06-05,鲁亚运,指数型-股票,华夏基金,0.83亿元,,,,,,
006888,2019-03-28,周建胜,混合型-偏股,诺德基金,12.36亿元,,,,,,
006924,2019-03-13,崔宸龙,股票型,前海开源基金,0.24亿元,,,,,,
007089,2019-03-14,殷瑞飞,指数型-股票,国投瑞银基金,1.83亿元,,,,,,
006938,2019-01-22,余展昌,指数型-股票,鹏华基金,1.17亿元,,,,,,
007067,2020-01-14,李浩玄郑敏宏,混合型-偏股,浦银安盛基金,1.75亿元,,,,,,
007029,2019-03-20,余海燕庞亚平,指数型-股票,易方达基金,6.90亿元,,,,,,
007183,2021-11-01,刘宏达,混合型-偏股,万家基金,0.23亿元,,,,,,
007114,2019-11-01,胡泽,混合型-偏股,永赢基金,3.88亿元,,,,,,
007223,2020-02-18,刘子豪,指数型-股票,工银瑞信基金,0.27亿元,,,,,,
007127,2019-04-30,杨梦,混合型-偏股,博道基金,19.46亿元,,,,,,
007356,2019-05-06,马翔,混合型-灵活,汇添富基金,32.45亿元,,,,,,
007450,2019-06-12,杨世进,混合型-偏股,兴证全球基金,11.51亿元,,,,,,
007469,2019-11-29,栾江伟,混合型-偏股,中信建投基金,2.27亿元,,,,,,
007413,2019-05-09,雷俊,指数型-股票,长城基金,3.48亿元,,,,,,
007301,2019-06-26,黄欣章椹元,指数型-股票,国联安基金,22.70亿元,,,,,,
007491,2019-06-19,郑晓曦,混合型-偏股,南方基金,14.04亿元,,,,,,
007465,2019-11-20,邵文婷蔡铮,指数型-股票,交银施罗德基金,14.49亿元,,,,,,
007499,2020-01-02,朱剑涛,混合型-偏股,光大保德信基金,0.02亿元,,,,,,
007501,2019-06-12,武玉迪,混合型-灵活,万家基金,0.06亿元,,,,,,
007509,2019-06-19,胡中原,混合型-灵活,华商基金,70.88亿元,,,,,,
007658,2019-07-31,徐习佳戎逸洲,指数型-股票,东方红资产管理,0.83亿元,,,,,,
007732,2019-09-24,朱辰喆,混合型-偏股,民生加银基金,2.41亿元,,,,,,
007550,2019-07-26,张旭李兵伟,混合型-灵活,东兴基金,0.75亿元,,,,,,
007665,2019-09-10,刘庭宇,指数型-股票,永赢基金,4.55亿元,,,,,,
007794,2019-08-08,刘敦,指数型-股票,申万菱信基金,2.20亿元,,,,,,
007734,2019-09-18,范佳瓅,混合型-偏股,南方基金,1.32亿元,,,,,,
007816,2019-11-01,尚可,指数型-股票,嘉实基金,0.36亿元,,,,,,
007818,2019-09-03,艾小军,指数型-股票,国泰基金,18.18亿元,,,,,,
007984,2019-11-21,王赟杰,指数型-股票,申万菱信基金,0.28亿元,,,,,,
007874,2019-08-30,胡洁,指数型-股票,华宝基金,3.58亿元,,,,,,
007950,2019-09-11,王平,股票型,招商基金,26.82亿元,,,,,,
008001,2020-01-15,陈龙,指数型-股票,鹏华基金,0.32亿元,,,,,,
008137,2020-05-29,袁多武霍霄,混合型-偏股,九泰基金,0.01亿元,,,,,,
008021,2020-04-23,张娅郜哲等,指数型-股票,华富基金,14.90亿元,,,,,,
008087,2019-12-10,李俊,指数型-股票,华夏基金,26.19亿元,,,,,,
008182,2019-11-05,李朝昱,混合型-灵活,方正富邦基金,6.21亿元,,,,,,
008187,2020-02-12,陈文,混合型-偏股,淳厚基金,8.70亿元,,,,,,
008212,2019-11-15,孙然晔,混合型-灵活,华夏基金,0.15亿元,,,,,,
008262,2020-04-21,梁辰,股票型,招商基金,2.51亿元,,,,,,
008254,2019-11-27,周晶杨洋,QDII-混合偏股,华宝基金,1.80亿元,,,,,,
008265,2019-12-19,章晖,股票型,南方基金,1.17亿元,,,,,,
008315,2020-01-22,李德辉,股票型,摩根基金(中国),2.94亿元,,,,,,
008319,2019-12-24,刘玮明,混合型-偏股,博道基金,20.63亿元,,,,,,
008348,2019-12-23,栾江伟,混合型-偏股,中信建投基金,3.19亿元,,,,,,
008282,2019-11-22,梁杏朱碧莹,指数型-股票,国泰基金,24.49亿元,,,,,,
008327,2020-01-20,姚楠燕,指数型-股票,东财基金,6.46亿元,,,,,,
008400,2020-02-26,胡亦清,指数型-股票,华泰柏瑞基金,0.69亿元,,,,,,
008423,2021-12-28,甘传琦,混合型-偏股,国联基金,0.11亿元,,,,,,
008532,2020-03-05,彭柏文,混合型-偏股,惠升基金,6.62亿元,,,,,,
008419,2019-12-17,孙庆钱睿南等,混合型-灵活,惠升基金,9.73亿元,,,,,,
008397,2019-12-30,万琼,指数型-股票,博时基金,1.62亿元,,,,,,
008656,2020-02-12,张林,混合型-偏股,招商基金,3.29亿元,,,,,,
008586,2020-06-16,李俊,指数型-股票,华夏基金,25.60亿元,,,,,,
008750,2020-02-20,王乐乐,指数型-股票,富国基金,0.66亿元,,,,,,
008892,2020-03-18,聂世林陈振宇,混合型-偏股,安信基金,4.83亿元,,,,,,
008888,2020-06-02,赵宗庭,指数型-股票,华夏基金,105.93亿元,,,,,,
008963,2020-02-17,邵卓,混合型-偏股,建信基金,0.59亿元,,,,,,
008950,2020-02-21,张淼,混合型-偏股,平安基金,2.71亿元,,,,,,
008920,2020-02-18,李文宾,混合型-偏股,永赢基金,7.04亿元,,,,,,
008981,2020-02-27,王瑶,混合型-偏股,中邮基金,6.80亿元,,,,,,
008987,2020-08-05,姚曦,指数型-其他,广发基金,12.09亿元,,,,,,
008989,2020-04-29,郭玮羚,混合型-偏股,大成基金,7.14亿元,,,,,,
009030,2020-06-18,李昱,混合型-偏股,工银瑞信基金,2.27亿元,,,,,,
009034,2020-08-05,朱金钰,指数型-其他,建信基金,15.99亿元,,,,,,
009013,2020-03-25,李严,指数型-股票,平安基金,2.23亿元,,,,,,
009009,2020-03-06,翟森,混合型-偏股,平安基金,4.88亿元,,,,,,
009056,2020-05-14,汪萍,混合型-偏股,圆信永丰基金,0.19亿元,,,,,,
009047,2020-03-18,姚楠燕,指数型-股票,东财基金,2.31亿元,,,,,,
009063,2020-04-03,贾雅楠,混合型-偏股,财通基金,2.12亿元,,,,,,
009127,2020-04-15,肖觅,股票型,嘉实基金,0.43亿元,,,,,,
009218,2020-05-07,黄继晨,混合型-灵活,博时基金,0.09亿元,,,,,,
009170,2020-04-23,车广路,混合型-灵活,湘财基金,0.22亿元,,,,,,
009239,2020-04-01,何天翔林丽娟,指数型-股票,融通基金,2.04亿元,,,,,,
009243,2020-07-22,张一然,混合型-偏股,中加基金,2.23亿元,,,,,,
009258,2020-04-07,陈保国,混合型-灵活,西部利得基金,2.76亿元,,,,,,
009328,2020-08-05,李晨辉李兵伟,混合型-偏股,东兴基金,0.12亿元,,,,,,
009478,2020-09-29,赵建忠,指数型-其他,中银基金,16.67亿元,,,,,,
009492,2020-08-10,容志能,股票型,宝盈基金,2.36亿元,,,,,,
009538,2020-09-01,林开盛,股票型,太平基金,0.51亿元,,,,,,
009597,2020-09-07,薛小波,混合型-偏股,泰康基金,1.03亿元,,,,,,
009708,2020-08-20,马丽娜,混合型-偏股,工银瑞信基金,22.95亿元,,,,,,
009609,2020-10-15,赵杰,指数型-股票,广发基金,0.41亿元,,,,,,
009505,2020-07-24,王乐乐,指数型-其他,富国基金,13.75亿元,,,,,,
009727,2020-12-23,蔡振,指数型-股票,招商基金,5.28亿元,,,,,,
009856,2020-09-17,张一然,混合型-偏股,中加基金,0.58亿元,,,,,,
009870,2020-07-21,姚志鹏熊昱洲,混合型-偏股,嘉实基金,3.35亿元,,,,,,
010004,2020-09-09,杨锐文,股票型,景顺长城基金,19.56亿元,,,,,,
009995,2020-10-20,王贵重彭民,混合型-偏股,嘉实基金,7.35亿元,,,,,,
009910,2020-11-23,姚志鹏邓云龙,混合型-偏股,嘉实基金,2.82亿元,,,,,,
009982,2021-01-26,乔亮张永强,指数型-股票,万家基金,4.27亿元,,,,,,
010034,2020-09-29,陈鹏,混合型-偏股,安信基金,2.29亿元,,,,,,
010026,2020-09-25,费逸,混合型-偏股,广发基金,0.72亿元,,,,,,
010063,2020-10-27,骆帅,混合型-偏股,南方基金,3.38亿元,,,,,,
010024,2020-09-22,李耀柱,股票型,广发基金,4.14亿元,,,,,,
010125,2020-11-24,罗怡达,混合型-偏股,兴银基金管理,0.27亿元,,,,,,
010138,2020-12-30,凌若冰,混合型-偏股,华泰柏瑞基金,0.58亿元,,,,,,
010127,2020-09-24,黄维,混合型-偏股,平安基金,1.01亿元,,,,,,
010154,2020-09-27,钟伟,指数型-股票,中加基金,0.17亿元,,,,,,
010162,2020-12-16,费逸,股票型,广发基金,0.48亿元,,,,,,
010158,2020-11-16,柳预才,指数型-股票,汇安基金,0.32亿元,,,,,,
010203,2020-10-28,刘笑明,指数型-股票,天弘基金,2.00亿元,,,,,,
010214,2020-10-12,王颖,混合型-偏股,中欧基金,12.49亿元,,,,,,
010238,2020-10-30,张天麒,混合型-偏股,安信基金,1.85亿元,,,,,,
010236,2020-09-24,冯骋,股票型,广发基金,10.82亿元,,,,,,
010304,2020-11-12,笪篁,混合型-偏股,华泰柏瑞基金,0.89亿元,,,,,,
010384,2021-02-02,张天闻,混合型-偏股,宝盈基金,0.48亿元,,,,,,
010246,2020-09-28,盛豪,混合型-偏股,华泰柏瑞基金,0.59亿元,,,,,,
010349,2020-10-28,韩冬燕李晓杰,股票型,诺安基金,0.93亿元,,,,,,
010372,2020-11-30,杜聪,混合型-偏股,大成基金,12.17亿元,,,,,,
010356,2020-10-28,梅律吾,指数型-股票,诺安基金,1.62亿元,,,,,,
010392,2021-01-13,欧阳良琦,股票型,易方达基金,11.46亿元,,,,,,
010416,2021-03-31,陈文凯,混合型-偏股,华泰柏瑞基金,1.55亿元,,,,,,
010422,2021-04-14,刘海啸,混合型-偏股,海富通基金,14.89亿元,,,,,,
010453,2020-11-10,王丽媛,混合型-偏股,广发基金,3.04亿元,,,,,,
010505,2020-10-29,俞诚,股票型,申万菱信基金,1.21亿元,,,,,,
010491,2020-11-18,胡颖,混合型-偏股,鹏华基金,0.55亿元,,,,,,
010563,2020-12-01,欧子辰,混合型-偏股,永赢基金,4.16亿元,,,,,,
010647,2021-04-28,李进,混合型-偏股,融通基金,0.85亿元,,,,,,
010524,2021-01-04,马君,指数型-股票,银华基金,4.31亿元,,,,,,
010531,2020-11-11,王赟杰,指数型-股票,申万菱信基金,0.38亿元,,,,,,
010655,2020-12-02,刘盟盟,混合型-偏股,天弘基金,9.99亿元,,,,,,
010681,2021-01-15,张帆,股票型,华夏基金,4.25亿元,,,,,,
010772,2020-12-30,刘笑明,指数型-股票,天弘基金,0.85亿元,,,,,,
010786,2021-04-02,李庆阳,指数型-股票,博时基金,0.62亿元,,,,,,
010812,2020-12-11,李思佳,股票型,中银基金,1.96亿元,,,,,,
010853,2021-08-03,钟鸣,混合型-偏股,中欧基金,0.92亿元,,,,,,
010842,2020-12-01,王正,混合型-偏股,华宝基金,0.69亿元,,,,,,
010827,2021-02-09,韩创,混合型-偏股,大成基金,15.71亿元,,,,,,
010791,2021-01-26,周雪军吴昊,混合型-偏股,海富通基金,6.67亿元,,,,,,
010865,2020-12-22,于浩成,混合型-偏股,泓德基金,8.12亿元,,,,,,
010962,2021-09-06,黄珺,混合型-偏股,中银基金,0.92亿元,,,,,,
010956,2021-01-19,祁世超,指数型-股票,天弘基金,4.64亿元,,,,,,
011068,2020-12-23,丁靖斐杨奇,混合型-偏股,华宝基金,6.75亿元,,,,,,
011043,2021-03-09,王阳邱晓旭,股票型,国泰基金,0.44亿元,,,,,,
011036,2021-08-03,田光远,指数型-股票,嘉实基金,40.51亿元,,,,,,
011117,2020-12-29,宁君,混合型-偏股,富国基金,33.90亿元,,,,,,
010993,2021-01-20,姚楠燕,指数型-股票,东财基金,0.56亿元,,,,,,
011120,2020-12-28,罗擎,混合型-偏股,富国基金,15.10亿元,,,,,,
011123,2021-06-10,沈若雨,股票型,汇添富基金,3.56亿元,,,,,,
011126,2020-12-30,许炎,股票型,富国基金,3.56亿元,,,,,,
011137,2021-02-02,费逸,混合型-偏股,广发基金,1.67亿元,,,,,,
011145,2021-03-26,桑翔宇,混合型-偏股,华安基金,10.90亿元,,,,,,
011197,2021-05-14,李德辉,混合型-偏股,摩根基金(中国),0.46亿元,,,,,,
011147,2020-12-30,寸思敏,股票型,创金合信基金,0.85亿元,,,,,,
011171,2021-04-20,张天闻赵国进,混合型-偏股,宝盈基金,0.54亿元,,,,,,
011230,2021-01-20,王鑫,股票型,创金合信基金,1.43亿元,,,,,,
011205,2021-03-01,翁子晨,指数型-股票,兴银基金管理,0.45亿元,,,,,,
011237,2021-02-26,李博,股票型,摩根基金(中国),6.08亿元,,,,,,
011301,2021-01-26,祁禾,混合型-偏股,易方达基金,15.16亿元,,,,,,
011306,2021-01-18,杨栋,混合型-偏股,富国基金,8.04亿元,,,,,,
011370,2021-04-08,张明昕,混合型-偏股,华商基金,5.24亿元,,,,,,
011350,2021-08-24,顾伟,股票型,淳厚基金,0.17亿元,,,,,,
011329,2021-02-22,杨锐文曾英捷,股票型,景顺长城基金,41.78亿元,,,,,,
011378,2021-02-08,王先伟,股票型,创金合信基金,0.66亿元,,,,,,
011317,2021-05-07,陈瑶,指数型-股票,天弘基金,1.08亿元,,,,,,
011400,2021-02-24,杨瑨马磊,混合型-偏股,汇添富基金,10.60亿元,,,,,,
011402,2021-02-09,马翔樊勇,混合型-偏股,汇添富基金,1.26亿元,,,,,,
011452,2021-02-19,陈文凯,混合型-偏股,华泰柏瑞基金,12.44亿元,,,,,,
011477,2021-02-05,鄢耀,混合型-灵活,工银瑞信基金,0.03亿元,,,,,,
011470,2021-02-02,刘瑞,股票型,东吴基金,0.83亿元,,,,,,
011487,2021-03-09,肖瑞瑾,混合型-偏股,博时基金,3.01亿元,,,,,,
011584,2021-05-06,柏杨,QDII-混合偏股,大成基金,5.06亿元,,,,,,
011499,2021-06-01,孙彬,股票型,富国基金,5.61亿元,,,,,,
011604,2021-03-24,徐立人,混合型-偏股,兴业基金,0.30亿元,,,,,,
011607,2021-03-09,何江,指数型-股票,民生加银基金,0.34亿元,,,,,,
011611,2021-03-04,柳军,指数型-股票,华泰柏瑞基金,15.11亿元,,,,,,
011631,2021-03-16,杨路炜,指数型-股票,东财基金,1.92亿元,,,,,,
011613,2021-03-04,荣膺,指数型-股票,华夏基金,56.68亿元,,,,,,
011668,2021-04-08,杨路炜,指数型-股票,东财基金,0.31亿元,,,,,,
011609,2021-03-01,林伟斌成曦,指数型-股票,易方达基金,120.07亿元,,,,,,
011615,2021-03-05,赵栩,指数型-股票,工银瑞信基金,17.90亿元,,,,,,
011707,2021-03-08,周健,混合型-灵活,东吴基金,0.14亿元,,,,,,
011823,2021-07-23,祁禾,混合型-偏股,易方达基金,6.47亿元,,,,,,
011833,2021-06-08,翟梓舰吴海健,指数型-股票,西部利得基金,3.33亿元,,,,,,
011889,2021-06-22,芮定坤,混合型-偏股,民生加银基金,0.26亿元,,,,,,
011937,2021-08-19,代瑞亮,混合型-偏股,华夏基金,0.38亿元,,,,,,
011840,2021-08-17,祁世超洪明华,指数型-股票,天弘基金,29.85亿元,,,,,,
011892,2021-09-23,武阳,混合型-偏股,易方达基金,9.42亿元,,,,,,
011883,2021-07-27,王景,股票型,招商基金,0.90亿元,,,,,,
011907,2021-04-09,梁杏吴可凡,混合型-灵活,国泰基金,0.18亿元,,,,,,
011965,2022-08-01,魏军,指数型-股票,泰康基金,0.35亿元,,,,,,
011978,2021-08-19,郑中华,混合型-偏股,格林基金,0.16亿元,,,,,,
012034,2021-09-27,观富钦,混合型-偏股,广发基金,0.56亿元,,,,,,
012074,2021-10-26,高钥群,混合型-偏股,华安基金,0.41亿元,,,,,,
012081,2021-06-15,官泽帆刘文贵,指数型-股票,易方达基金,4.59亿元,,,,,,
012083,2021-06-18,肖瑞瑾,混合型-偏股,博时基金,1.11亿元,,,,,,
012120,2021-06-24,鄢耀,混合型-偏股,工银瑞信基金,0.88亿元,,,,,,
012040,2021-04-14,罗英宇,指数型-股票,鹏华基金,0.24亿元,,,,,,
012125,2021-06-01,张建胜,混合型-偏股,博道基金,11.08亿元,,,,,,
012131,2021-08-23,董晗,混合型-偏股,景顺长城基金,2.36亿元,,,,,,
012154,2021-06-08,吴鹏,混合型-偏股,博时基金,1.35亿元,,,,,,
012181,2021-05-14,周斌,股票型,中银基金,1.54亿元,,,,,,
012222,2021-06-09,袁忠伟张锡莹,混合型-偏股,瑞达基金,0.12亿元,,,,,,
012228,2021-08-12,周寒颖张飞鹏,混合型-偏股,景顺长城基金,2.02亿元,,,,,,
012180,2021-12-29,高钢杰宋施怡,指数型-股票,浦银安盛基金,0.41亿元,,,,,,
012213,2021-12-28,林心龙,指数型-股票,天弘基金,1.05亿元,,,,,,
012320,2021-10-11,杨路炜,指数型-股票,东财基金,1.69亿元,,,,,,
012322,2021-08-11,杨路炜,指数型-股票,东财基金,4.61亿元,,,,,,
012298,2021-06-30,张旭李兵伟,混合型-偏股,东兴基金,0.07亿元,,,,,,
012343,2021-11-02,费逸,混合型-偏股,广发基金,1.18亿元,,,,,,
012455,2021-10-22,廖辰轩,混合型-偏股,淳厚基金,0.40亿元,,,,,,
012429,2021-06-22,顾鑫峰,混合型-偏股,华夏基金,6.35亿元,,,,,,
012501,2021-08-24,吴渭,混合型-灵活,博时基金,0.64亿元,,,,,,
012492,2021-07-28,叶峰,混合型-灵活,华商基金,4.88亿元,,,,,,
012457,2021-09-07,张勋章宏帆,混合型-偏股,鹏扬基金,2.70亿元,,,,,,
012520,2021-06-30,韩创,混合型-偏股,大成基金,1.48亿元,,,,,,
012551,2021-07-19,蒋俊阳曹旭辰,指数型-股票,华宝基金,0.19亿元,,,,,,
012553,2021-07-21,洪明华,指数型-股票,天弘基金,8.47亿元,,,,,,
012589,2021-07-21,骆帅,混合型-偏股,南方基金,4.40亿元,,,,,,
012630,2021-08-09,曹世宇,指数型-股票,广发基金,12.62亿元,,,,,,
012651,2021-07-20,肖瑞瑾,混合型-偏股,博时基金,6.50亿元,,,,,,
012628,2021-06-15,屠环宇,混合型-灵活,华夏基金,1.12亿元,,,,,,
012555,2021-12-01,童国林祁威等,指数型-股票,西部利得基金,1.82亿元,,,,,,
012672,2021-07-23,肖觅,混合型-偏股,嘉实基金,1.11亿元,,,,,,
012697,2021-07-26,陈宗超,股票型,同泰基金,1.83亿元,,,,,,
012707,2021-12-28,周斌,混合型-偏股,中银基金,0.11亿元,,,,,,
012716,2021-07-08,王远鸿,混合型-灵活,长盛基金,0.01亿元,,,,,,
012780,2021-09-29,郭晓林,混合型-偏股,博时基金,0.12亿元,,,,,,
012718,2022-02-14,张湛,指数型-股票,易方达基金,0.66亿元,,,,,,
012800,2021-07-12,孟杰,股票型,宏利基金,3.22亿元,,,,,,
012793,2021-09-01,赵凤飞,混合型-偏股,长城基金,0.08亿元,,,,,,
012809,2021-12-07,钟成亮,指数型-股票,鹏华基金,0.39亿元,,,,,,
