Date,Net_Value,Cost_Nav,Profit_Rate(%),Decision,RSI,MACD,BB,Big_Trend,Reason,Fund_Code
2022-01-19,1.8928,1.833,3.26,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-20,1.8816,1.833,2.65,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,0.0,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-21,1.8829,1.833,2.72,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,36.52,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-24,1.9315,1.833,5.37,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,45.74,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-25,1.8878,1.833,2.99,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,40.1,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-26,1.929,1.833,5.24,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,46.76,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-27,1.8849,1.833,2.83,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,41.45,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-01-28,1.891,1.833,3.16,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,42.42,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-07,1.906,1.833,3.98,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,44.85,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-08,1.8384,1.833,0.29,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,37.23,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-09,1.8471,1.833,0.77,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,38.67,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-15,1.8617,1.833,1.57,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,46.9,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-16,1.8568,1.833,1.3,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,46.41,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-17,1.9105,1.833,4.23,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,52.34,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-18,1.8804,1.833,2.59,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,49.06,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-21,1.872,1.833,2.13,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,48.15,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-22,1.8562,1.833,1.27,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,46.42,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-23,1.9393,1.833,5.8,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,55.51,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-24,1.9088,1.833,4.14,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,52.02,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-25,1.9464,1.833,6.19,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,55.71,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-02-28,1.9675,1.833,7.34,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,57.68,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-03-01,1.9575,1.833,6.79,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,56.4,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-03-02,1.9146,1.833,4.45,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,51.16,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-03-03,1.8665,1.833,1.83,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,45.99,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-03-10,1.7957,1.833,-2.03,卖10%,43.33,死叉,中轨,弱势,卖10%,009645
2022-03-17,1.8247,1.833,-0.45,卖10%,49.06,死叉,中轨,弱势,卖10%,009645
2022-03-28,1.6682,1.833,-8.99,卖10%,35.24,死叉,中轨,弱势,卖10%,009645
2022-03-29,1.6671,1.833,-9.05,卖10%,35.15,死叉,中轨,弱势,卖10%,009645
2022-03-30,1.7284,1.833,-5.71,卖10%,43.31,死叉,中轨,弱势,卖10%,009645
2022-03-31,1.6606,1.833,-9.41,卖10%,37.67,死叉,中轨,弱势,卖10%,009645
2022-04-01,1.6673,1.833,-9.04,卖10%,38.52,死叉,中轨,弱势,卖10%,009645
2022-04-06,1.6051,1.833,-12.43,暂停定投,33.89,死叉,中轨,弱势,暂停定投,009645
2022-04-07,1.5828,1.833,-13.65,暂停定投,32.38,死叉,下轨,弱势,暂停定投,009645
2022-04-08,1.5728,1.833,-14.2,暂停定投,31.7,死叉,中轨,弱势,暂停定投,009645
2022-04-15,1.4588,1.833,-20.41,因绝对止损（亏损>20%）卖出100%,25.5,死叉,中轨,强势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-20,1.4523,1.833,-20.77,因绝对止损（亏损>20%）卖出100%,29.86,死叉,中轨,强势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-21,1.4011,1.833,-23.56,因绝对止损（亏损>20%）卖出100%,26.63,死叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-22,1.3808,1.833,-24.67,因绝对止损（亏损>20%）卖出100%,25.45,死叉,中轨,强势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-25,1.2993,1.833,-29.12,因绝对止损（亏损>20%）卖出100%,21.36,死叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-26,1.2847,1.833,-29.91,因绝对止损（亏损>20%）卖出100%,20.72,死叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-27,1.3836,1.833,-24.52,因绝对止损（亏损>20%）卖出100%,34.97,死叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-28,1.4005,1.833,-23.6,因绝对止损（亏损>20%）卖出100%,37.05,死叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-04-29,1.4561,1.833,-20.56,因绝对止损（亏损>20%）卖出100%,43.47,金叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-05-05,1.4584,1.833,-20.44,因绝对止损（亏损>20%）卖出100%,43.72,金叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-05-06,1.4239,1.833,-22.32,因绝对止损（亏损>20%）卖出100%,40.75,金叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-05-09,1.4261,1.833,-22.2,因绝对止损（亏损>20%）卖出100%,41.02,金叉,中轨,弱势,因绝对止损（亏损>20%）卖出100%,009645
2022-05-17,1.5608,1.833,-14.85,暂停定投,56.24,金叉,中轨,弱势,暂停定投,009645
2022-05-18,1.5704,1.833,-14.33,暂停定投,57.24,金叉,中轨,强势,暂停定投,009645
2022-05-19,1.6308,1.833,-11.03,暂停定投,62.96,金叉,中轨,强势,暂停定投,009645
2022-05-20,1.6318,1.833,-10.98,暂停定投,63.05,金叉,中轨,弱势,暂停定投,009645
2022-05-23,1.6352,1.833,-10.79,暂停定投,63.37,金叉,中轨,弱势,暂停定投,009645
2022-05-24,1.5784,1.833,-13.89,暂停定投,54.84,金叉,中轨,弱势,暂停定投,009645
2022-05-25,1.5925,1.833,-13.12,暂停定投,56.41,金叉,中轨,弱势,暂停定投,009645
2022-05-26,1.6004,1.833,-12.69,暂停定投,57.31,金叉,中轨,强势,暂停定投,009645
2022-05-27,1.5896,1.833,-13.28,暂停定投,55.62,金叉,中轨,强势,暂停定投,009645
2022-05-30,1.5961,1.833,-12.92,暂停定投,56.45,金叉,中轨,弱势,暂停定投,009645
2022-05-31,1.6213,1.833,-11.55,暂停定投,59.6,金叉,中轨,弱势,暂停定投,009645
2022-06-01,1.6064,1.833,-12.36,暂停定投,56.98,金叉,中轨,弱势,暂停定投,009645
2022-06-09,1.6453,1.833,-10.24,暂停定投,56.53,金叉,中轨,弱势,暂停定投,009645
2022-06-14,1.629,1.833,-11.13,暂停定投,52.66,金叉,中轨,强势,暂停定投,009645
2022-06-15,1.6063,1.833,-12.37,暂停定投,49.51,金叉,中轨,弱势,暂停定投,009645
2022-06-16,1.651,1.833,-9.93,卖10%,55.19,死叉,中轨,弱势,卖10%,009645
2022-06-17,1.6965,1.833,-7.45,卖10%,60.11,死叉,中轨,弱势,卖10%,009645
2022-06-27,1.8248,1.833,-0.45,卖10%,70.66,金叉,上轨,弱势,卖10%,009645
2022-06-28,1.8551,1.833,1.21,卖10%,72.9,金叉,上轨,弱势,卖10%,009645
2022-06-30,1.8513,1.833,1.0,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,66.95,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-04,1.8449,1.833,0.65,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,64.61,金叉,中轨,中性,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-05,1.84,1.833,0.38,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,63.87,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-06,1.8486,1.833,0.85,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,64.64,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-07,1.9235,1.833,4.94,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,70.55,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-08,1.884,1.833,2.78,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,64.43,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-11,1.8605,1.833,1.5,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,61.05,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-12,1.835,1.833,0.11,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,57.51,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-13,1.8713,1.833,2.09,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,60.97,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-14,1.942,1.833,5.95,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,66.67,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-15,1.9409,1.833,5.89,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,66.51,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-18,1.9348,1.833,5.55,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,65.55,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-19,1.8782,1.833,2.47,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,57.33,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-20,1.9008,1.833,3.7,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,59.51,死叉,中轨,中性,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-21,1.881,1.833,2.62,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,56.77,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-22,1.8828,1.833,2.72,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,56.96,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-25,1.8188,1.833,-0.77,卖10%,48.6,死叉,中轨,弱势,卖10%,009645
2022-07-26,1.8523,1.833,1.05,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,52.53,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-27,1.9104,1.833,4.22,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,58.46,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-28,1.9222,1.833,4.87,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,59.56,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-07-29,1.9189,1.833,4.69,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,59.09,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-01,1.9236,1.833,4.94,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,59.58,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-02,1.924,1.833,4.96,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,59.63,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-03,1.8633,1.833,1.65,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,50.53,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-04,1.8487,1.833,0.86,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,48.6,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-05,1.8522,1.833,1.05,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,49.1,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-08,1.8895,1.833,3.08,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,54.21,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-09,1.9453,1.833,6.13,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,60.59,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-10,1.9668,1.833,7.3,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,62.74,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-11,1.955,1.833,6.66,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,60.78,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-12,1.9132,1.833,4.38,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,54.3,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-15,1.9894,1.833,8.53,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,62.21,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-17,2.0031,1.833,9.28,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,62.38,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-18,2.0591,1.833,12.33,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,67.09,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-19,1.9954,1.833,8.86,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,58.17,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-22,1.9714,1.833,7.55,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,55.19,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-23,2.0284,1.833,10.66,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,60.38,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-24,1.9783,1.833,7.93,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,54.42,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-25,1.9163,1.833,4.54,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,48.09,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-26,1.876,1.833,2.35,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,44.47,死叉,中轨,中性,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-29,1.9213,1.833,4.82,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,49.11,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-30,1.9037,1.833,3.86,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,47.45,死叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-08-31,1.7735,1.833,-3.25,因移动止盈卖出,37.39,死叉,中轨,强势,因移动止盈卖出,009645
2022-09-01,1.7845,1.833,-2.65,因移动止盈卖出,38.57,死叉,下轨,强势,因移动止盈卖出,009645
2022-09-02,1.7767,1.833,-3.07,因移动止盈卖出,38.02,死叉,中轨,弱势,因移动止盈卖出,009645
2022-09-05,1.8132,1.833,-1.08,因移动止盈卖出,42.18,死叉,中轨,强势,因移动止盈卖出,009645
2022-09-06,1.9226,1.833,4.89,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,52.45,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-09-07,1.9593,1.833,6.89,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,55.32,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-09-08,1.9508,1.833,6.43,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,54.5,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-09-09,1.901,1.833,3.71,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,49.84,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-09-13,1.8719,1.833,2.12,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,47.29,金叉,中轨,强势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-09-14,1.8514,1.833,1.0,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,45.53,死叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-09-15,1.6992,1.833,-7.3,因移动止盈卖出,35.07,死叉,中轨,弱势,因移动止盈卖出,009645
2022-09-16,1.6932,1.833,-7.63,因移动止盈卖出,34.73,死叉,中轨,弱势,因移动止盈卖出,009645
2022-09-19,1.6866,1.833,-7.99,因移动止盈卖出,34.34,死叉,中轨,弱势,因移动止盈卖出,009645
2022-09-20,1.7631,1.833,-3.81,因移动止盈卖出,42.46,死叉,中轨,弱势,因移动止盈卖出,009645
2022-09-21,1.7348,1.833,-5.36,因移动止盈卖出,40.47,死叉,中轨,强势,因移动止盈卖出,009645
2022-09-22,1.7731,1.833,-3.27,因移动止盈卖出,44.28,死叉,中轨,中性,因移动止盈卖出,009645
2022-09-23,1.7533,1.833,-4.35,因移动止盈卖出,42.76,死叉,中轨,中性,因移动止盈卖出,009645
2022-09-26,1.8151,1.833,-0.98,因移动止盈卖出,48.7,死叉,中轨,弱势,因移动止盈卖出,009645
2022-09-27,1.8063,1.833,-1.46,因移动止盈卖出,47.94,金叉,中轨,中性,因移动止盈卖出,009645
2022-09-28,1.7515,1.833,-4.45,因移动止盈卖出,43.38,金叉,中轨,强势,因移动止盈卖出,009645
2022-09-29,1.7699,1.833,-3.44,因移动止盈卖出,45.26,金叉,中轨,强势,因移动止盈卖出,009645
2022-09-30,1.7043,1.833,-7.02,因移动止盈卖出,40.14,金叉,中轨,强势,因移动止盈卖出,009645
2022-10-10,1.6711,1.833,-8.83,因移动止盈卖出,37.81,死叉,中轨,强势,因移动止盈卖出,009645
2022-10-11,1.7022,1.833,-7.14,因移动止盈卖出,41.25,死叉,中轨,弱势,因移动止盈卖出,009645
2022-10-12,1.7634,1.833,-3.8,因移动止盈卖出,47.42,死叉,中轨,中性,因移动止盈卖出,009645
2022-10-13,1.7468,1.833,-4.7,因移动止盈卖出,46.01,金叉,中轨,强势,因移动止盈卖出,009645
2022-10-14,1.7964,1.833,-2.0,因移动止盈卖出,50.73,金叉,中轨,弱势,因移动止盈卖出,009645
2022-10-17,1.7542,1.833,-4.3,因移动止盈卖出,46.97,金叉,中轨,弱势,因移动止盈卖出,009645
2022-10-18,1.7863,1.833,-2.55,因移动止盈卖出,50.0,金叉,中轨,强势,因移动止盈卖出,009645
2022-10-19,1.7692,1.833,-3.48,因移动止盈卖出,48.41,金叉,中轨,弱势,因移动止盈卖出,009645
2022-10-20,1.7154,1.833,-6.42,因移动止盈卖出,43.7,金叉,中轨,弱势,因移动止盈卖出,009645
2022-10-21,1.7302,1.833,-5.61,因移动止盈卖出,45.28,金叉,中轨,强势,因移动止盈卖出,009645
2022-10-24,1.7152,1.833,-6.43,因移动止盈卖出,43.94,金叉,中轨,弱势,因移动止盈卖出,009645
2022-10-25,1.7503,1.833,-4.51,因移动止盈卖出,47.84,金叉,中轨,强势,因移动止盈卖出,009645
2022-10-26,1.7835,1.833,-2.7,因移动止盈卖出,51.29,金叉,中轨,弱势,因移动止盈卖出,009645
2022-10-27,1.7377,1.833,-5.2,因移动止盈卖出,46.7,金叉,中轨,强势,因移动止盈卖出,009645
2022-10-28,1.6706,1.833,-8.86,因移动止盈卖出,40.92,金叉,中轨,强势,因移动止盈卖出,009645
2022-10-31,1.6412,1.833,-10.46,暂停定投,38.66,金叉,中轨,弱势,暂停定投,009645
2022-11-01,1.7016,1.833,-7.17,因移动止盈卖出,45.33,死叉,中轨,弱势,因移动止盈卖出,009645
2022-11-02,1.7526,1.833,-4.39,因移动止盈卖出,50.25,金叉,中轨,弱势,因移动止盈卖出,009645
2022-11-03,1.8086,1.833,-1.33,因移动止盈卖出,55.04,金叉,中轨,强势,因移动止盈卖出,009645
2022-11-04,1.8659,1.833,1.79,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,59.35,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-11-07,1.8447,1.833,0.64,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,57.17,金叉,中轨,弱势,【T1止盈】布林中轨已达，建议卖出 30% - 50% 仓位,009645
2022-11-08,1.8256,1.833,-0.4,因移动止盈卖出,55.2,金叉,中轨,弱势,因移动止盈卖出,009645
2022-11-09,1.8054,1.833,-1.51,因移动止盈卖出,53.11,金叉,中轨,弱势,因移动止盈卖出,009645
2022-11-10,1.7609,1.833,-3.93,因移动止盈卖出,48.74,金叉,中轨,弱势,因移动止盈卖出,009645
2022-11-11,1.7521,1.833,-4.41,因移动止盈卖出,47.91,金叉,中轨,强势,因移动止盈卖出,009645
2022-11-14,1.6776,1.833,-8.48,因移动止盈卖出,41.41,金叉,中轨,弱势,因移动止盈卖出,009645
2022-11-15,1.7209,1.833,-6.12,因移动止盈卖出,45.99,死叉,中轨,弱势,因移动止盈卖出,009645
2022-11-16,1.6858,1.833,-8.03,因移动止盈卖出,43.05,死叉,中轨,弱势,因移动止盈卖出,009645
2022-11-17,1.6516,1.833,-9.9,因移动止盈卖出,40.35,死叉,中轨,强势,因移动止盈卖出,009645
2022-11-18,1.6654,1.833,-9.14,因移动止盈卖出,41.93,死叉,中轨,强势,因移动止盈卖出,009645
2022-11-21,1.6864,1.833,-8.0,因移动止盈卖出,44.36,死叉,中轨,弱势,因移动止盈卖出,009645
2022-11-22,1.6368,1.833,-10.7,暂停定投,40.1,死叉,中轨,弱势,暂停定投,009645
2022-11-23,1.717,1.833,-6.33,因移动止盈卖出,48.68,死叉,中轨,弱势,因移动止盈卖出,009645
2022-11-24,1.7343,1.833,-5.38,因移动止盈卖出,50.33,死叉,中轨,弱势,因移动止盈卖出,009645
