date,net_value,equity_return,unit_money
2024-02-05,1.255,0.36,
2024-02-06,1.2551,0.01,
2024-02-07,1.2583,0.25,
2024-02-18,1.2641,0.46,
2024-02-19,1.2644,0.02,
2024-02-20,1.263,-0.11,
2024-02-21,1.2661,0.25,
2024-02-22,1.2695,0.27,
2024-02-25,1.269,-0.04,
2024-02-26,1.2761,0.56,
2024-02-27,1.2676,-0.67,
2024-02-28,1.2717,0.32,
2024-02-29,1.276,0.34,
2024-03-03,1.2764,0.03,
2024-03-04,1.2741,-0.18,
2024-03-05,1.2739,-0.02,
2024-03-06,1.2693,-0.36,
2024-03-07,1.2736,0.34,
2024-03-10,1.2786,0.39,
2024-03-11,1.2812,0.2,
2024-03-12,1.2827,0.12,
2024-03-13,1.2778,-0.38,
2024-03-14,1.281,0.25,
2024-03-17,1.2849,0.3,
2024-03-18,1.2823,-0.2,
2024-03-19,1.2841,0.14,
2024-03-20,1.2857,0.12,
2024-03-21,1.2838,-0.15,
2024-03-24,1.2779,-0.46,
2024-03-25,1.2766,-0.1,
2024-03-26,1.2738,-0.22,
2024-03-27,1.276,0.17,
2024-03-28,1.2746,-0.11,
2024-03-31,1.2762,0.13,
2024-04-01,1.2732,-0.24,
2024-04-02,1.271,-0.17,
2024-04-07,1.2685,-0.2,
2024-04-08,1.2681,-0.03,
2024-04-09,1.2653,-0.22,
2024-04-10,1.2685,0.25,
2024-04-11,1.2678,-0.06,
2024-04-14,1.2661,-0.13,
2024-04-15,1.2628,-0.26,
2024-04-16,1.2651,0.18,
2024-04-17,1.2657,0.05,
2024-04-18,1.2645,-0.09,
2024-04-21,1.263,-0.12,
2024-04-22,1.2618,-0.1,
2024-04-23,1.2654,0.29,
2024-04-24,1.2637,-0.13,
2024-04-25,1.2664,0.21,
2024-04-28,1.2698,0.27,
2024-04-29,1.2666,-0.25,
2024-05-05,1.2719,0.42,
2024-05-06,1.2719,0.0,
2024-05-07,1.2686,-0.26,
2024-05-08,1.2704,0.14,
2024-05-09,1.2699,-0.04,
2024-05-12,1.2693,-0.05,
2024-05-13,1.2713,0.16,
2024-05-14,1.2693,-0.16,
2024-05-15,1.2682,-0.09,
2024-05-16,1.2684,0.02,
2024-05-19,1.2702,0.14,
2024-05-20,1.2696,-0.05,
2024-05-21,1.2689,-0.06,
2024-05-22,1.2621,-0.54,
2024-05-23,1.2602,-0.15,
2024-05-26,1.2635,0.26,
2024-05-27,1.2606,-0.23,
2024-05-28,1.2616,0.08,
2024-05-29,1.2579,-0.29,
2024-05-30,1.2586,0.06,
2024-06-02,1.258,-0.05,
2024-06-03,1.2587,0.06,
2024-06-04,1.2535,-0.41,
2024-06-05,1.2509,-0.21,
2024-06-06,1.2523,0.11,
2024-06-10,1.2544,0.17,
2024-06-11,1.2588,0.35,
2024-06-12,1.2582,-0.05,
2024-06-13,1.258,-0.02,
2024-06-16,1.2579,-0.01,
2024-06-17,1.2612,0.26,
2024-06-18,1.2576,-0.29,
2024-06-19,1.2562,-0.11,
2024-06-20,1.2559,-0.02,
2024-06-23,1.2497,-0.49,
2024-06-24,1.2472,-0.2,
2024-06-25,1.2514,0.34,
2024-06-26,1.2482,-0.26,
2024-06-27,1.2541,0.47,
2024-06-29,1.254,-0.01,
2024-06-30,1.2573,0.26,
2024-07-01,1.2527,-0.37,
2024-07-02,1.2516,-0.09,
2024-07-03,1.249,-0.21,
2024-07-04,1.2513,0.18,
2024-07-07,1.2519,0.05,
2024-07-08,1.2644,1.0,
2024-07-09,1.2644,0.0,
2024-07-10,1.269,0.36,
2024-07-11,1.2642,-0.38,
2024-07-14,1.2633,-0.07,
2024-07-15,1.2684,0.4,
2024-07-16,1.2584,-0.79,
2024-07-17,1.2589,0.04,
2024-07-18,1.2553,-0.29,
2024-07-21,1.2554,0.01,
2024-07-22,1.2443,-0.88,
2024-07-23,1.2405,-0.31,
2024-07-24,1.2339,-0.53,
2024-07-25,1.2395,0.45,
2024-07-28,1.2396,0.01,
2024-07-29,1.2364,-0.26,
2024-07-30,1.2499,1.09,
2024-07-31,1.2495,-0.03,
2024-08-01,1.2357,-1.1,
2024-08-04,1.2208,-1.21,
2024-08-05,1.2265,0.47,
2024-08-06,1.2295,0.24,
2024-08-07,1.2262,-0.27,
2024-08-08,1.226,-0.02,
2024-08-11,1.2251,-0.07,
2024-08-12,1.2275,0.2,
2024-08-13,1.224,-0.29,
2024-08-14,1.2279,0.32,
2024-08-15,1.2288,0.07,
2024-08-18,1.2308,0.16,
2024-08-19,1.2256,-0.42,
2024-08-20,1.2265,0.07,
2024-08-21,1.2216,-0.4,
2024-08-22,1.2203,-0.11,
2024-08-25,1.2183,-0.16,
2024-08-26,1.2119,-0.53,
2024-08-27,1.2115,-0.03,
2024-08-28,1.2189,0.61,
2024-08-29,1.227,0.66,
2024-09-01,1.2205,-0.53,
2024-09-02,1.2239,0.28,
2024-09-03,1.2189,-0.41,
2024-09-04,1.2229,0.33,
2024-09-05,1.2167,-0.51,
2024-09-08,1.213,-0.3,
2024-09-09,1.2139,0.07,
2024-09-10,1.2136,-0.02,
2024-09-11,1.2089,-0.39,
2024-09-12,1.2094,0.04,
2024-09-17,1.2102,0.07,
2024-09-18,1.2132,0.25,
2024-09-19,1.2132,0.0,
2024-09-22,1.2143,0.09,
2024-09-23,1.2348,1.69,
2024-09-24,1.2371,0.19,
2024-09-25,1.2579,1.68,
2024-09-26,1.2882,2.41,
2024-09-29,1.3427,4.23,
2024-10-07,1.3879,3.37,
2024-10-08,1.3527,-2.54,
2024-10-09,1.3451,-0.56,
2024-10-10,1.3233,-1.62,
2024-10-13,1.3422,1.43,
2024-10-14,1.3307,-0.86,
2024-10-15,1.332,0.1,
2024-10-16,1.3312,-0.06,
2024-10-17,1.3606,2.21,
2024-10-20,1.3822,1.59,
2024-10-21,1.3887,0.47,
2024-10-22,1.3754,-0.96,
2024-10-23,1.3684,-0.51,
2024-10-24,1.3885,1.47,
2024-10-27,1.3881,-0.03,
2024-10-28,1.3745,-0.98,
2024-10-29,1.3711,-0.25,
2024-10-30,1.3794,0.61,
2024-10-31,1.3639,-1.12,
2024-11-03,1.3738,0.73,
2024-11-04,1.398,1.76,
2024-11-05,1.3955,-0.18,
2024-11-06,1.4035,0.57,
2024-11-07,1.4,-0.25,
2024-11-10,1.4221,1.58,
2024-11-11,1.4143,-0.55,
2024-11-12,1.4216,0.52,
