,基金简称,优仓数目_所属基金数,优仓数目_被持仓市值,平均占比,基金代码,日增长率,近1周,近1月,近3月,近半年,近1年,近2年,近3年,今年来,成立来
14055,简称缺失,6,5,1,015947,,,,,,,,,,
14054,简称缺失,6,5,1,015968,,,,,,,,,,
14053,简称缺失,6,5,1,015971,,,,,,,,,,
14052,简称缺失,6,5,1,016049,,,,,,,,,,
14051,简称缺失,6,5,1,016068,,,,,,,,,,
14050,简称缺失,6,5,1,016238,,,,,,,,,,
14049,简称缺失,6,5,1,016283,,,,,,,,,,
14048,简称缺失,6,5,1,016371,,,,,,,,,,
14079,简称缺失,6,5,1,014156,,,,,,,,,,
14046,简称缺失,6,5,1,016600,,,,,,,,,,
14045,简称缺失,6,5,1,016616,,,,,,,,,,
14044,简称缺失,6,5,1,017437,,,,,,,,,,
14043,简称缺失,6,5,1,017811,,,,,,,,,,
14056,简称缺失,6,5,1,015877,,,,,,,,,,
14174,简称缺失,6,5,1,004744,,,,,,,,,,
14173,简称缺失,6,5,1,004815,,,,,,,,,,
14172,简称缺失,6,5,1,005300,,,,,,,,,,
14171,简称缺失,6,5,1,005491,,,,,,,,,,
14192,简称缺失,6,5,1,001593,,,,,,,,,,
14193,简称缺失,6,5,1,001557,,,,,,,,,,
2481,简称缺失,6,4,3,008586,,,,,,,,,,
14158,简称缺失,6,5,1,007356,,,,,,,,,,
14157,简称缺失,6,5,1,007450,,,,,,,,,,
14156,简称缺失,6,5,1,007465,,,,,,,,,,
14155,简称缺失,6,5,1,007491,,,,,,,,,,
14154,简称缺失,6,5,1,007509,,,,,,,,,,
14153,简称缺失,6,5,1,007818,,,,,,,,,,
14137,简称缺失,6,5,1,009034,,,,,,,,,,
14151,简称缺失,6,5,1,008021,,,,,,,,,,
14150,简称缺失,6,5,1,008087,,,,,,,,,,
14149,简称缺失,6,5,1,008182,,,,,,,,,,
14148,简称缺失,6,5,1,008187,,,,,,,,,,
14147,简称缺失,6,5,1,008282,,,,,,,,,,
14146,简称缺失,6,5,1,008319,,,,,,,,,,
14145,简称缺失,6,5,1,008327,,,,,,,,,,
14144,简称缺失,6,5,1,008419,,,,,,,,,,
14175,简称缺失,6,5,1,004433,,,,,,,,,,
14142,简称缺失,6,5,1,008586,,,,,,,,,,
14141,简称缺失,6,5,1,008920,,,,,,,,,,
14140,简称缺失,6,5,1,008981,,,,,,,,,,
14139,简称缺失,6,5,1,008987,,,,,,,,,,
14138,简称缺失,6,5,1,008989,,,,,,,,,,
14152,简称缺失,6,5,1,007950,,,,,,,,,,
14186,简称缺失,6,5,1,002112,,,,,,,,,,
14165,简称缺失,6,5,1,006328,,,,,,,,,,
14166,简称缺失,6,5,1,006249,,,,,,,,,,
14167,简称缺失,6,5,1,005963,,,,,,,,,,
14168,简称缺失,6,5,1,005919,,,,,,,,,,
14169,简称缺失,6,5,1,005763,,,,,,,,,,
14170,简称缺失,6,5,1,005633,,,,,,,,,,
14187,简称缺失,6,5,1,002096,,,,,,,,,,
14194,简称缺失,6,5,1,001407,,,,,,,,,,
14195,简称缺失,6,5,1,001301,,,,,,,,,,
14176,简称缺失,6,5,1,004348,,,,,,,,,,
14188,简称缺失,6,5,1,002052,,,,,,,,,,
14189,简称缺失,6,5,1,002036,,,,,,,,,,
14185,简称缺失,6,5,1,002170,,,,,,,,,,
14191,简称缺失,6,5,1,001618,,,,,,,,,,
14160,简称缺失,6,5,1,007127,,,,,,,,,,
14161,简称缺失,6,5,1,007029,,,,,,,,,,
14162,简称缺失,6,5,1,006888,,,,,,,,,,
14163,简称缺失,6,5,1,006594,,,,,,,,,,
14164,简称缺失,6,5,1,006503,,,,,,,,,,
14177,简称缺失,6,5,1,004343,,,,,,,,,,
14178,简称缺失,6,5,1,004241,,,,,,,,,,
14179,简称缺失,6,5,1,004237,,,,,,,,,,
14180,简称缺失,6,5,1,004235,,,,,,,,,,
14181,简称缺失,6,5,1,004195,,,,,,,,,,
14182,简称缺失,6,5,1,003766,,,,,,,,,,
14183,简称缺失,6,5,1,003305,,,,,,,,,,
14184,简称缺失,6,5,1,002207,,,,,,,,,,
14190,简称缺失,6,5,1,001770,,,,,,,,,,
2512,简称缺失,6,4,3,004815,,,,,,,,,,
2534,简称缺失,6,4,3,001301,,,,,,,,,,
2533,简称缺失,6,4,3,001407,,,,,,,,,,
2532,简称缺失,6,4,3,001557,,,,,,,,,,
2531,简称缺失,6,4,3,001593,,,,,,,,,,
2530,简称缺失,6,4,3,001618,,,,,,,,,,
2506,简称缺失,6,4,3,005963,,,,,,,,,,
2505,简称缺失,6,4,3,006249,,,,,,,,,,
2504,简称缺失,6,4,3,006328,,,,,,,,,,
2471,简称缺失,6,4,3,009995,,,,,,,,,,
2470,简称缺失,6,4,3,010004,,,,,,,,,,
2469,简称缺失,6,4,3,010214,,,,,,,,,,
2468,简称缺失,6,4,3,010236,,,,,,,,,,
2467,简称缺失,6,4,3,010372,,,,,,,,,,
2513,简称缺失,6,4,3,004744,,,,,,,,,,
2497,简称缺失,6,4,3,007356,,,,,,,,,,
2496,简称缺失,6,4,3,007450,,,,,,,,,,
2527,简称缺失,6,4,3,002052,,,,,,,,,,
2526,简称缺失,6,4,3,002096,,,,,,,,,,
2525,简称缺失,6,4,3,002112,,,,,,,,,,
2524,简称缺失,6,4,3,002170,,,,,,,,,,
2523,简称缺失,6,4,3,002207,,,,,,,,,,
2490,简称缺失,6,4,3,008021,,,,,,,,,,
2489,简称缺失,6,4,3,008087,,,,,,,,,,
2488,简称缺失,6,4,3,008182,,,,,,,,,,
2455,简称缺失,6,4,3,011237,,,,,,,,,,
2454,简称缺失,6,4,3,011301,,,,,,,,,,
2453,简称缺失,6,4,3,011306,,,,,,,,,,
2452,简称缺失,6,4,3,011329,,,,,,,,,,
2451,简称缺失,6,4,3,011370,,,,,,,,,,
2466,简称缺失,6,4,3,010392,,,,,,,,,,
2520,简称缺失,6,4,3,004195,,,,,,,,,,
2521,简称缺失,6,4,3,003766,,,,,,,,,,
2522,简称缺失,6,4,3,003305,,,,,,,,,,
2514,简称缺失,6,4,3,004433,,,,,,,,,,
2515,简称缺失,6,4,3,004348,,,,,,,,,,
2516,简称缺失,6,4,3,004343,,,,,,,,,,
2517,简称缺失,6,4,3,004241,,,,,,,,,,
2518,简称缺失,6,4,3,004237,,,,,,,,,,
2519,简称缺失,6,4,3,004235,,,,,,,,,,
2487,简称缺失,6,4,3,008187,,,,,,,,,,
2499,简称缺失,6,4,3,007127,,,,,,,,,,
2450,简称缺失,6,4,3,011400,,,,,,,,,,
14135,简称缺失,6,5,1,009505,,,,,,,,,,
14134,简称缺失,6,5,1,009708,,,,,,,,,,
2529,简称缺失,6,4,3,001770,,,,,,,,,,
2500,简称缺失,6,4,3,007029,,,,,,,,,,
2501,简称缺失,6,4,3,006888,,,,,,,,,,
2528,简称缺失,6,4,3,002036,,,,,,,,,,
2502,简称缺失,6,4,3,006594,,,,,,,,,,
2503,简称缺失,6,4,3,006503,,,,,,,,,,
2498,简称缺失,6,4,3,007301,,,,,,,,,,
2486,简称缺失,6,4,3,008282,,,,,,,,,,
2485,简称缺失,6,4,3,008319,,,,,,,,,,
2482,简称缺失,6,4,3,008532,,,,,,,,,,
2484,简称缺失,6,4,3,008327,,,,,,,,,,
2483,简称缺失,6,4,3,008419,,,,,,,,,,
14136,简称缺失,6,5,1,009478,,,,,,,,,,
3178,简称缺失,5,5,1,006594,,,,,,,,,,
3179,简称缺失,5,5,1,006503,,,,,,,,,,
3144,简称缺失,5,5,1,010236,,,,,,,,,,
3193,简称缺失,5,5,1,004241,,,,,,,,,,
3160,简称缺失,5,5,1,008327,,,,,,,,,,
3159,简称缺失,5,5,1,008419,,,,,,,,,,
3158,简称缺失,5,5,1,008532,,,,,,,,,,
3125,简称缺失,5,5,1,011412,,,,,,,,,,
3124,简称缺失,5,5,1,011452,,,,,,,,,,
3155,简称缺失,5,5,1,008981,,,,,,,,,,
3154,简称缺失,5,5,1,008987,,,,,,,,,,
3153,简称缺失,5,5,1,008989,,,,,,,,,,
3195,简称缺失,5,5,1,004235,,,,,,,,,,
3152,简称缺失,5,5,1,009034,,,,,,,,,,
3183,简称缺失,5,5,1,005919,,,,,,,,,,
3182,简称缺失,5,5,1,005963,,,,,,,,,,
3181,简称缺失,5,5,1,006249,,,,,,,,,,
3180,简称缺失,5,5,1,006328,,,,,,,,,,
3177,简称缺失,5,5,1,006888,,,,,,,,,,
3122,简称缺失,5,5,1,011584,,,,,,,,,,
3123,简称缺失,5,5,1,011499,,,,,,,,,,
3092,简称缺失,5,5,1,014243,,,,,,,,,,
3093,简称缺失,5,5,1,014162,,,,,,,,,,
3126,简称缺失,5,5,1,011400,,,,,,,,,,
3127,简称缺失,5,5,1,011370,,,,,,,,,,
3128,简称缺失,5,5,1,011329,,,,,,,,,,
3161,简称缺失,5,5,1,008319,,,,,,,,,,
3162,简称缺失,5,5,1,008282,,,,,,,,,,
3163,简称缺失,5,5,1,008187,,,,,,,,,,
3164,简称缺失,5,5,1,008182,,,,,,,,,,
3165,简称缺失,5,5,1,008087,,,,,,,,,,
3194,简称缺失,5,5,1,004237,,,,,,,,,,
3121,简称缺失,5,5,1,011609,,,,,,,,,,
3120,简称缺失,5,5,1,011613,,,,,,,,,,
3151,简称缺失,5,5,1,009478,,,,,,,,,,
3167,简称缺失,5,5,1,007950,,,,,,,,,,
3136,简称缺失,5,5,1,011036,,,,,,,,,,
3137,简称缺失,5,5,1,010865,,,,,,,,,,
3138,简称缺失,5,5,1,010827,,,,,,,,,,
3139,简称缺失,5,5,1,010791,,,,,,,,,,
3108,简称缺失,5,5,1,012970,,,,,,,,,,
3109,简称缺失,5,5,1,012908,,,,,,,,,,
3142,简称缺失,5,5,1,010392,,,,,,,,,,
3143,简称缺失,5,5,1,010372,,,,,,,,,,
3166,简称缺失,5,5,1,008021,,,,,,,,,,
3206,简称缺失,5,5,1,001618,,,,,,,,,,
3207,简称缺失,5,5,1,001593,,,,,,,,,,
3208,简称缺失,5,5,1,001557,,,,,,,,,,
3203,简称缺失,5,5,1,002052,,,,,,,,,,
3204,简称缺失,5,5,1,002036,,,,,,,,,,
3205,简称缺失,5,5,1,001770,,,,,,,,,,
16896,简称缺失,5,4,1,001593,,,,,,,,,,
16897,简称缺失,5,4,1,001557,,,,,,,,,,
16898,简称缺失,5,4,1,001407,,,,,,,,,,
16899,简称缺失,5,4,1,001301,,,,,,,,,,
14519,简称缺失,5,4,0,004195,,,,,,,,,,
14520,简称缺失,5,4,0,003766,,,,,,,,,,
14521,简称缺失,5,4,0,003305,,,,,,,,,,
16880,简称缺失,5,4,1,004348,,,,,,,,,,
3149,简称缺失,5,5,1,009708,,,,,,,,,,
16882,简称缺失,5,4,1,004241,,,,,,,,,,
16883,简称缺失,5,4,1,004237,,,,,,,,,,
16884,简称缺失,5,4,1,004235,,,,,,,,,,
14522,简称缺失,5,4,0,002207,,,,,,,,,,
14530,简称缺失,5,4,0,001593,,,,,,,,,,
14531,简称缺失,5,4,0,001557,,,,,,,,,,
14532,简称缺失,5,4,0,001407,,,,,,,,,,
14533,简称缺失,5,4,0,001301,,,,,,,,,,
14512,简称缺失,5,4,0,004744,,,,,,,,,,
14513,简称缺失,5,4,0,004433,,,,,,,,,,
14514,简称缺失,5,4,0,004348,,,,,,,,,,
14515,简称缺失,5,4,0,004343,,,,,,,,,,
14516,简称缺失,5,4,0,004241,,,,,,,,,,
14517,简称缺失,5,4,0,004237,,,,,,,,,,
14518,简称缺失,5,4,0,004235,,,,,,,,,,
16881,简称缺失,5,4,1,004343,,,,,,,,,,
3196,简称缺失,5,5,1,004195,,,,,,,,,,
3197,简称缺失,5,5,1,003766,,,,,,,,,,
3198,简称缺失,5,5,1,003305,,,,,,,,,,
3199,简称缺失,5,5,1,002207,,,,,,,,,,
3168,简称缺失,5,5,1,007818,,,,,,,,,,
3169,简称缺失,5,5,1,007509,,,,,,,,,,
3170,简称缺失,5,5,1,007491,,,,,,,,,,
3171,简称缺失,5,5,1,007465,,,,,,,,,,
3140,简称缺失,5,5,1,010655,,,,,,,,,,
3141,简称缺失,5,5,1,010422,,,,,,,,,,
3174,简称缺失,5,5,1,007301,,,,,,,,,,
3175,简称缺失,5,5,1,007127,,,,,,,,,,
3176,简称缺失,5,5,1,007029,,,,,,,,,,
3209,简称缺失,5,5,1,001407,,,,,,,,,,
3173,简称缺失,5,5,1,007356,,,,,,,,,,
3184,简称缺失,5,5,1,005763,,,,,,,,,,
3185,简称缺失,5,5,1,005633,,,,,,,,,,
3186,简称缺失,5,5,1,005491,,,,,,,,,,
3187,简称缺失,5,5,1,005300,,,,,,,,,,
3188,简称缺失,5,5,1,004815,,,,,,,,,,
3189,简称缺失,5,5,1,004744,,,,,,,,,,
3156,简称缺失,5,5,1,008920,,,,,,,,,,
3157,简称缺失,5,5,1,008586,,,,,,,,,,
3190,简称缺失,5,5,1,004433,,,,,,,,,,
3191,简称缺失,5,5,1,004348,,,,,,,,,,
3192,简称缺失,5,5,1,004343,,,,,,,,,,
3200,简称缺失,5,5,1,002170,,,,,,,,,,
3201,简称缺失,5,5,1,002112,,,,,,,,,,
3202,简称缺失,5,5,1,002096,,,,,,,,,,
3172,简称缺失,5,5,1,007450,,,,,,,,,,
3210,简称缺失,5,5,1,001301,,,,,,,,,,
16775,简称缺失,5,4,1,014662,,,,,,,,,,
16776,简称缺失,5,4,1,014642,,,,,,,,,,
16777,简称缺失,5,4,1,014544,,,,,,,,,,
16778,简称缺失,5,4,1,014377,,,,,,,,,,
16779,简称缺失,5,4,1,014345,,,,,,,,,,
16780,简称缺失,5,4,1,014320,,,,,,,,,,
16813,简称缺失,5,4,1,011452,,,,,,,,,,
16814,简称缺失,5,4,1,011412,,,,,,,,,,
16815,简称缺失,5,4,1,011400,,,,,,,,,,
3150,简称缺失,5,5,1,009505,,,,,,,,,,
16785,简称缺失,5,4,1,014130,,,,,,,,,,
16786,简称缺失,5,4,1,013841,,,,,,,,,,
16787,简称缺失,5,4,1,013811,,,,,,,,,,
16788,简称缺失,5,4,1,013642,,,,,,,,,,
16757,简称缺失,5,4,1,015971,,,,,,,,,,
16758,简称缺失,5,4,1,015968,,,,,,,,,,
16759,简称缺失,5,4,1,015947,,,,,,,,,,
16760,简称缺失,5,4,1,015877,,,,,,,,,,
16761,简称缺失,5,4,1,015868,,,,,,,,,,
16784,简称缺失,5,4,1,014143,,,,,,,,,,
16819,简称缺失,5,4,1,011301,,,,,,,,,,
16820,简称缺失,5,4,1,011237,,,,,,,,,,
16789,简称缺失,5,4,1,013620,,,,,,,,,,
16790,简称缺失,5,4,1,013533,,,,,,,,,,
16791,简称缺失,5,4,1,013466,,,,,,,,,,
16792,简称缺失,5,4,1,013340,,,,,,,,,,
16793,简称缺失,5,4,1,013311,,,,,,,,,,
16794,简称缺失,5,4,1,013305,,,,,,,,,,
16795,简称缺失,5,4,1,013277,,,,,,,,,,
16774,简称缺失,5,4,1,014728,,,,,,,,,,
16829,简称缺失,5,4,1,010655,,,,,,,,,,
16830,简称缺失,5,4,1,010422,,,,,,,,,,
16831,简称缺失,5,4,1,010392,,,,,,,,,,
16800,简称缺失,5,4,1,012734,,,,,,,,,,
16801,简称缺失,5,4,1,012651,,,,,,,,,,
16802,简称缺失,5,4,1,012630,,,,,,,,,,
16803,简称缺失,5,4,1,012553,,,,,,,,,,
16804,简称缺失,5,4,1,012429,,,,,,,,,,
16773,简称缺失,5,4,1,014855,,,,,,,,,,
16796,简称缺失,5,4,1,013010,,,,,,,,,,
16783,简称缺失,5,4,1,014156,,,,,,,,,,
16752,简称缺失,5,4,1,016371,,,,,,,,,,
16753,简称缺失,5,4,1,016283,,,,,,,,,,
16754,简称缺失,5,4,1,016238,,,,,,,,,,
16755,简称缺失,5,4,1,016068,,,,,,,,,,
16756,简称缺失,5,4,1,016049,,,,,,,,,,
16749,简称缺失,5,4,1,016616,,,,,,,,,,
16750,简称缺失,5,4,1,016600,,,,,,,,,,
16751,简称缺失,5,4,1,016465,,,,,,,,,,
