基金代码,基金简称,股票简称,占净值比例,持股数_万,持仓市值_万
019514,简称缺失,新易盛,8.98,18.44,6744.8
019514,简称缺失,寒武纪,8.74,4.95,6564.98
019514,简称缺失,中际旭创,6.25,11.64,4698.79
019514,简称缺失,工业富联,5.59,63.6,4198.24
019514,简称缺失,浙江荣泰,5.18,34.57,3892.08
019514,简称缺失,海光信息,4.84,14.4,3636.78
019514,简称缺失,胜宏科技,4.83,12.7,3625.85
019514,简称缺失,歌尔股份,3.95,79.1,2966.25
019514,简称缺失,ST华通,3.69,133.83,2771.62
019514,简称缺失,骄成超声,3.55,27.73,2664.29
021500,简称缺失,中际旭创,9.17,22.67,9151.43
021500,简称缺失,新易盛,8.55,23.31,8526.79
021500,简称缺失,沪电股份,6.26,84.92,6239.07
021500,简称缺失,工业富联,5.58,84.29,5563.98
021500,简称缺失,胜宏科技,5.07,17.71,5056.21
021500,简称缺失,宁德时代,5.07,12.57,5053.14
021500,简称缺失,源杰科技,4.79,11.13,4773.78
021500,简称缺失,兆易创新,4.28,20.0,4266.0
021500,简称缺失,拓普集团,4.21,51.86,4200.14
021500,简称缺失,浙江荣泰,3.98,35.3,3974.07
009645,简称缺失,胜宏科技,9.5,131.49,37540.4
009645,简称缺失,寒武纪,9.05,26.99,35761.09
009645,简称缺失,兆易创新,8.36,154.91,33042.3
009645,简称缺失,芯原股份,7.67,165.52,30290.64
009645,简称缺失,锐捷网络,7.33,323.88,28958.0
009645,简称缺失,瑞芯微,6.91,120.99,27289.29
009645,简称缺失,英维克,6.57,324.84,25980.83
009645,简称缺失,华丰科技,6.4,257.1,25298.35
009645,简称缺失,盛科通信,6.27,195.75,24766.13
009645,简称缺失,中科曙光,6.0,198.68,23692.59
018957,简称缺失,英维克,9.75,1612.67,128981.64
018957,简称缺失,新易盛,9.71,351.4,128531.29
018957,简称缺失,中际旭创,9.52,312.16,126013.72
018957,简称缺失,胜宏科技,9.18,425.26,121411.73
018957,简称缺失,源杰科技,9.05,279.07,119719.79
018957,简称缺失,天孚通信,8.85,697.58,117054.26
018957,简称缺失,沪电股份,5.52,993.64,73002.67
018957,简称缺失,光库科技,5.45,606.69,72074.32
018957,简称缺失,德科立,5.16,564.45,68310.17
018957,简称缺失,东山精密,5.06,935.79,66908.83
020662,简称缺失,新易盛,8.84,3.18,1162.42
020662,简称缺失,中际旭创,8.78,2.86,1154.52
020662,简称缺失,胜宏科技,7.17,3.3,942.15
020662,简称缺失,工业富联,5.85,11.66,769.68
020662,简称缺失,巨人网络,5.37,15.63,706.16
020662,简称缺失,阿里巴巴-W,5.16,4.2,678.71
020662,简称缺失,迈富时,5.03,13.81,660.67
020662,简称缺失,阅文集团,4.91,17.92,645.92
020662,简称缺失,天孚通信,4.9,3.84,644.35
020662,简称缺失,拓普集团,4.47,7.25,587.18
017811,简称缺失,中微公司,9.19,166.75,49855.95
017811,简称缺失,北方华创,9.14,109.65,49602.09
017811,简称缺失,芯源微,9.11,331.59,49406.64
017811,简称缺失,拓荆科技,9.1,189.84,49392.99
017811,简称缺失,华海清科,9.06,297.59,49161.46
017811,简称缺失,中科飞测,8.79,411.17,47708.4
017811,简称缺失,盛美上海,8.46,227.48,45906.21
017811,简称缺失,京仪装备,8.31,447.24,45090.57
017811,简称缺失,富创精密,8.03,586.72,43581.44
017811,简称缺失,精测电子,7.81,539.31,42346.83
519022,简称缺失,顺丰控股,8.85,442.69,17853.73
519022,简称缺失,传音控股,8.43,180.57,17009.52
519022,简称缺失,美的集团,8.35,231.73,16837.82
519022,简称缺失,东鹏饮料,7.91,52.94,15954.01
519022,简称缺失,宁德时代,7.87,39.49,15874.14
519022,简称缺失,立讯精密,7.83,243.97,15782.35
519022,简称缺失,百济神州,6.94,45.62,14002.19
519022,简称缺失,恒瑞医药,6.61,186.31,13330.42
519022,简称缺失,贵州茅台,5.94,8.3,11979.34
519022,简称缺失,迈瑞医疗,5.03,41.32,10150.81
016616,简称缺失,聚和材料,9.77,341.36,27971.13
016616,简称缺失,良信股份,8.92,2250.98,25548.6
016616,简称缺失,凯迪股份,8.56,260.39,24502.6
016616,简称缺失,新泉股份,8.32,286.78,23814.46
016616,简称缺失,峰岹科技,7.82,92.04,22386.97
016616,简称缺失,思源电气,6.76,177.69,19371.72
016616,简称缺失,骏鼎达,6.19,189.01,17728.99
016616,简称缺失,石英股份,5.95,420.66,17028.32
016616,简称缺失,翔楼新材,5.52,264.41,15809.25
016616,简称缺失,凌云股份,4.58,942.2,13115.38
016600,简称缺失,兆易创新,9.71,189.06,40326.6
016600,简称缺失,海光信息,9.63,158.27,39979.66
016600,简称缺失,新易盛,9.4,106.69,39023.38
016600,简称缺失,中际旭创,9.21,94.75,38250.29
016600,简称缺失,天孚通信,8.0,197.94,33214.94
016600,简称缺失,中兴通讯,6.66,605.98,27656.93
016600,简称缺失,恒玄科技,6.4,89.34,26579.87
016600,简称缺失,乐鑫科技,4.74,90.81,19692.12
016600,简称缺失,荃银高科,3.58,1619.42,14850.1
016600,简称缺失,潞安环能,3.54,1033.39,14715.47
016371,简称缺失,沪电股份,9.85,601.57,44197.37
016371,简称缺失,胜宏科技,9.8,154.0,43966.89
016371,简称缺失,工业富联,9.69,658.75,43484.4
016371,简称缺失,新易盛,9.57,117.43,42953.1
016371,简称缺失,天孚通信,9.55,255.38,42851.94
016371,简称缺失,中际旭创,9.51,105.69,42666.68
016371,简称缺失,宏和科技,6.58,846.69,29524.08
016371,简称缺失,铜冠铜箔,6.53,937.8,29287.5
016371,简称缺失,麦格米特,5.54,321.13,24878.28
016371,简称缺失,长芯博创,5.24,229.33,23498.13
015971,简称缺失,宁德时代,8.69,18.5,7436.2
015971,简称缺失,中际旭创,7.85,16.63,6713.2
015971,简称缺失,新易盛,7.58,17.73,6483.64
015971,简称缺失,腾讯控股,6.07,8.58,5193.34
015971,简称缺失,中芯国际,5.2,61.3,4451.89
015971,简称缺失,阿里巴巴-W,4.06,21.48,3471.11
015971,简称缺失,德赛西威,3.99,22.59,3416.29
015971,简称缺失,英科医疗,3.23,75.26,2764.92
015971,简称缺失,药明合联,2.97,35.55,2541.34
015971,简称缺失,天孚通信,2.44,12.44,2087.43
015877,简称缺失,工业富联,0.08,0.52,13.1
015877,简称缺失,长电科技,0.03,0.16,5.65
015877,简称缺失,和辉光电,0.02,1.36,3.43
015877,简称缺失,珠海冠宇,0.02,0.17,2.88
015877,简称缺失,闻泰科技,0.01,0.07,2.29
015877,简称缺失,芯原股份,0.01,0.04,1.44
015877,简称缺失,同方股份,0.01,0.18,1.13
015877,简称缺失,立昂微,0.01,0.04,0.97
015947,简称缺失,睿创微纳,6.54,131.96,11670.49
015947,简称缺失,长芯博创,5.7,95.69,10168.98
015947,简称缺失,天奈科技,4.77,123.6,8511.05
015947,简称缺失,佳驰科技,3.86,96.68,6897.85
015947,简称缺失,紫金矿业,3.7,224.37,6605.45
015947,简称缺失,天孚通信,3.66,38.89,6525.74
015947,简称缺失,中际旭创,3.29,14.55,5873.54
015947,简称缺失,完美世界,2.75,256.39,4912.43
015947,简称缺失,应流股份,2.74,150.42,4891.66
015947,简称缺失,三环集团,2.65,102.21,4735.39
015868,简称缺失,紫江企业,0.83,248.54,1839.2
015868,简称缺失,同方股份,0.8,219.91,1783.47
015868,简称缺失,华邦健康,0.79,388.43,1767.36
015868,简称缺失,中色股份,0.78,256.51,1739.12
015868,简称缺失,剑桥科技,0.74,12.97,1657.57
015868,简称缺失,四川黄金,0.74,59.58,1650.96
015868,简称缺失,云天励飞,0.73,18.25,1615.19
015868,简称缺失,概伦电子,0.67,35.24,1487.29
015868,简称缺失,微芯生物,0.66,45.62,1463.57
015868,简称缺失,海正药业,0.64,137.23,1427.19
015751,简称缺失,泡泡玛特,8.12,475.14,115736.06
015751,简称缺失,工业富联,7.62,1644.25,108536.98
015751,简称缺失,小米集团-W,7.59,2193.36,108134.67
015751,简称缺失,新易盛,7.5,292.19,106873.28
015751,简称缺失,水晶光电,7.29,3928.99,103882.62
015751,简称缺失,腾讯控股,6.74,158.59,95995.44
015751,简称缺失,九号公司,6.18,1321.64,88093.54
015751,简称缺失,老铺黄金,6.02,131.91,85747.01
015751,简称缺失,高伟电子,5.97,2387.0,84992.05
015751,简称缺失,蓝思科技,5.92,2520.23,84377.14
015686,简称缺失,新易盛,9.42,254.02,92914.36
015686,简称缺失,寒武纪,9.01,67.05,88841.65
015686,简称缺失,中际旭创,8.72,212.95,85965.27
015686,简称缺失,兆易创新,8.48,392.2,83656.52
015686,简称缺失,沪电股份,7.49,1004.73,73817.62
015686,简称缺失,深南电路,5.76,262.05,56770.73
015686,简称缺失,南芯科技,3.51,670.24,34577.61
015686,简称缺失,龙迅股份,3.34,442.44,32891.33
015686,简称缺失,瑞芯微,3.31,144.77,32653.93
015686,简称缺失,东山精密,3.29,453.18,32402.08
016049,简称缺失,环旭电子,7.9,1444.14,31583.29
016049,简称缺失,长飞光纤光缆,7.31,675.89,29200.02
016049,简称缺失,微创医疗,5.29,1679.12,21140.12
016049,简称缺失,固德威,2.77,171.04,11064.87
016049,简称缺失,TCL中环,2.5,1106.0,10009.26
016049,简称缺失,阳光保险,2.32,2641.8,9261.74
016049,简称缺失,阿里巴巴-W,1.98,48.95,7910.87
016049,简称缺失,阅文集团,1.95,216.28,7795.69
016049,简称缺失,中国海洋石油,1.93,443.46,7708.76
016049,简称缺失,金山云,1.87,998.8,7486.57
015642,简称缺失,歌尔股份,5.84,247.15,9268.05
015642,简称缺失,申通快递,5.6,496.51,8887.53
015642,简称缺失,九方智投控股,5.49,128.05,8721.27
015642,简称缺失,龙旗科技,5.24,173.3,8318.19
015642,简称缺失,圆通速递,5.14,444.63,8158.95
015642,简称缺失,京仪装备,4.7,74.07,7467.57
015642,简称缺失,开普云,4.43,34.33,7038.18
015642,简称缺失,合锻智能,4.06,328.09,6446.97
015642,简称缺失,灿芯股份,3.4,53.01,5401.0
015642,简称缺失,晶合集成,3.15,143.77,5010.28
015968,简称缺失,中芯国际,9.85,1280.0,92963.28
015968,简称缺失,北方华创,8.63,180.0,81424.8
015968,简称缺失,中科飞测,7.38,600.0,69618.0
015968,简称缺失,汇成真空,7.34,400.0,69252.0
015968,简称缺失,茂莱光学,6.98,150.0,65850.0
015968,简称缺失,奥普光电,5.8,950.0,54767.5
015968,简称缺失,福晶科技,5.27,1000.0,49700.0
015968,简称缺失,芯源微,4.74,300.0,44700.0
015968,简称缺失,华海清科,4.38,250.0,41300.0
015968,简称缺失,燕东微,3.78,1300.0,35659.0
015690,简称缺失,深南电路,9.39,187.84,40693.7
015690,简称缺失,兆易创新,6.48,131.62,28074.55
015690,简称缺失,巨人网络,6.34,607.45,27444.61
015690,简称缺失,东山精密,5.21,315.88,22585.42
015690,简称缺失,新易盛,5.17,61.19,22381.8
015690,简称缺失,中际旭创,4.86,52.13,21044.65
015690,简称缺失,沪电股份,3.61,213.04,15652.2
015690,简称缺失,华曙高科,3.5,288.46,15181.89
015690,简称缺失,绿联科技,3.38,235.74,14629.6
015690,简称缺失,瑞芯微,3.19,61.28,13821.7
016465,简称缺失,宁德时代,7.79,54.78,22022.57
016465,简称缺失,电连技术,5.51,273.32,15579.33
016465,简称缺失,腾讯控股,4.89,22.85,13831.24
016465,简称缺失,高伟电子,4.37,347.1,12358.92
016465,简称缺失,三环集团,3.94,240.25,11130.9
016465,简称缺失,信达生物,3.86,124.1,10922.2
016465,简称缺失,东山精密,3.58,141.64,10127.4
016465,简称缺失,继峰股份,3.55,757.36,10050.14
016465,简称缺失,立讯精密,3.54,154.55,9997.67
016465,简称缺失,科博达,3.45,93.19,9745.47
016238,简称缺失,澜起科技,5.17,43.17,6682.02
016238,简称缺失,翱捷科技,3.98,46.49,5136.86
016238,简称缺失,概伦电子,3.74,114.58,4836.34
016238,简称缺失,杰华特,3.33,74.14,4303.58
016238,简称缺失,北京君正,3.23,46.83,4168.34
016238,简称缺失,华勤技术,3.22,39.48,4159.31
016238,简称缺失,东材科技,3.19,203.3,4114.79
016238,简称缺失,昊华科技,2.98,125.17,3845.22
016238,简称缺失,佰维存储,2.97,36.76,3834.42
016238,简称缺失,江波龙,2.64,19.14,3407.16
015683,简称缺失,中际旭创,8.61,47.8,19295.9
015683,简称缺失,新易盛,8.56,52.49,19199.78
015683,简称缺失,腾讯控股,7.83,28.99,17547.81
015683,简称缺失,阿里巴巴-W,6.49,90.0,14543.77
015683,简称缺失,工业富联,6.34,215.38,14216.97
015683,简称缺失,沪电股份,6.23,190.1,13966.48
015683,简称缺失,拓普集团,4.6,127.44,10321.37
015683,简称缺失,源杰科技,3.83,20.0,8580.0
015683,简称缺失,恺英网络,3.32,265.15,7445.29
015683,简称缺失,小米集团-W,3.3,150.0,7395.14
015454,简称缺失,西部矿业,1.52,102.26,2249.72
015454,简称缺失,国金证券,1.32,191.41,1958.12
015454,简称缺失,胜宏科技,1.27,6.62,1890.01
015454,简称缺失,华工科技,1.21,19.47,1800.59
015454,简称缺失,当升科技,1.2,26.92,1787.22
015454,简称缺失,财通证券,1.16,204.99,1726.02
015454,简称缺失,国联民生,1.1,146.75,1639.2
015454,简称缺失,芯联集成,1.1,247.76,1630.27
015454,简称缺失,顾家家居,1.08,53.1,1602.03
015454,简称缺失,网宿科技,1.06,136.24,1572.21
016283,简称缺失,金风科技,4.4,270.88,4055.07
016283,简称缺失,中国建筑,3.94,666.38,3631.77
016283,简称缺失,松原安全,3.86,89.16,3557.67
016283,简称缺失,海尔智家,3.85,139.82,3541.64
016283,简称缺失,华域汽车,3.64,163.73,3356.47
016283,简称缺失,科达制造,3.46,260.72,3188.61
016283,简称缺失,新澳股份,3.25,440.15,2993.02
016283,简称缺失,中信特钢,3.05,206.29,2809.67
016283,简称缺失,中联重科,2.98,342.49,2743.34
016283,简称缺失,海信家电,2.75,97.09,2528.22
015152,简称缺失,立讯精密,9.41,290.0,18760.1
015152,简称缺失,豪威集团,9.37,123.61,18686.12
015152,简称缺失,新易盛,9.36,51.0,18654.27
015152,简称缺失,德赛西威,8.95,118.02,17848.1
015152,简称缺失,中际旭创,8.1,40.0,16147.2
015152,简称缺失,兆易创新,7.5,70.09,14950.2
015152,简称缺失,歌尔股份,6.77,360.01,13500.38
015152,简称缺失,拓普集团,5.08,125.0,10123.75
015152,简称缺失,瑞芯微,4.75,42.01,9475.36
015152,简称缺失,沪电股份,4.61,125.0,9183.75
015508,简称缺失,通富微电,1.28,19.61,787.73
015508,简称缺失,西部矿业,1.2,33.69,741.18
015508,简称缺失,赤峰黄金,1.2,24.89,736.25
015508,简称缺失,芯联集成,1.19,111.48,733.51
015508,简称缺失,水晶光电,1.15,26.74,707.01
015508,简称缺失,亨通光电,1.13,30.21,693.92
015508,简称缺失,杰瑞股份,1.12,12.39,690.12
015508,简称缺失,宏发股份,1.1,25.6,674.82
015508,简称缺失,中科创达,1.09,8.64,671.16
015508,简称缺失,广联达,1.06,46.57,654.77
016068,简称缺失,拓普集团,5.26,158.37,12826.78
016068,简称缺失,亿纬锂能,4.33,115.88,10545.35
016068,简称缺失,华友钴业,4.23,156.47,10311.66
016068,简称缺失,三花智控,3.95,199.05,9639.99
016068,简称缺失,天赐材料,3.59,229.3,8752.54
016068,简称缺失,中创新航,3.43,257.97,8351.59
016068,简称缺失,兆丰股份,3.16,74.37,7705.15
016068,简称缺失,赣锋锂业,2.78,111.47,6786.42
016068,简称缺失,湖南裕能,2.75,111.13,6714.52
016068,简称缺失,富临精工,2.75,302.13,6713.26
014985,简称缺失,宁德时代,22.89,101.24,40696.71
014985,简称缺失,中际旭创,7.72,33.99,13722.01
014985,简称缺失,东方财富,7.51,492.21,13348.74
014985,简称缺失,新易盛,7.12,34.62,12663.4
014985,简称缺失,阳光电源,5.24,57.53,9318.14
014985,简称缺失,胜宏科技,3.86,24.05,6866.28
014985,简称缺失,汇川技术,3.68,78.18,6552.68
014985,简称缺失,迈瑞医疗,2.98,21.59,5303.93
014985,简称缺失,亿纬锂能,2.54,49.63,4516.74
014985,简称缺失,同花顺,1.68,8.04,2988.66
014855,简称缺失,中微公司,9.74,130.65,39063.64
014855,简称缺失,北方华创,9.7,85.98,38894.46
014855,简称缺失,寒武纪,9.29,28.13,37270.4
014855,简称缺失,中芯国际,9.28,265.47,37200.96
014855,简称缺失,海光信息,7.84,124.49,31445.8
014855,简称缺失,长川科技,5.19,208.93,20814.09
014855,简称缺失,华海清科,5.18,125.8,20782.52
014855,简称缺失,拓荆科技,4.8,74.01,19255.64
014855,简称缺失,中科飞测,3.34,115.48,13398.99
014855,简称缺失,南大光电,3.12,288.15,12511.61
014954,简称缺失,华勤技术,8.16,111.86,11785.43
014954,简称缺失,佰维存储,5.36,74.25,7744.06
014954,简称缺失,歌尔股份,4.4,169.51,6356.63
014954,简称缺失,华虹公司,3.98,50.15,5745.24
014954,简称缺失,晶晨股份,3.59,46.65,5186.34
014954,简称缺失,江淮汽车,3.53,94.46,5091.39
014954,简称缺失,兆易创新,3.08,20.87,4451.57
014954,简称缺失,恒玄科技,1.91,9.3,2765.41
014954,简称缺失,炬芯科技,1.91,44.35,2758.81
014954,简称缺失,欣旺达,1.84,78.76,2661.3
014544,简称缺失,中际旭创,10.12,54.11,11391.24
014544,简称缺失,新易盛,10.0,60.4,11258.37
014544,简称缺失,腾讯控股,8.53,18.56,9598.36
014544,简称缺失,阿里巴巴-W,7.73,81.94,8698.72
014544,简称缺失,中科曙光,5.45,89.06,6137.99
014544,简称缺失,金山办公,3.88,14.1,4364.94
014544,简称缺失,金蝶国际,3.23,215.9,3637.33
014544,简称缺失,浪潮信息,3.08,62.73,3468.34
014544,简称缺失,恒生电子,2.85,92.12,3213.29
014544,简称缺失,紫光股份,2.7,121.87,3034.56
014728,简称缺失,新易盛,9.27,107.05,39154.43
014728,简称缺失,工业富联,9.22,589.79,38931.99
014728,简称缺失,中际旭创,6.62,69.2,27936.31
014728,简称缺失,深南电路,5.89,114.72,24853.2
014728,简称缺失,欣旺达,4.58,572.26,19336.67
014728,简称缺失,沪电股份,4.43,254.4,18690.57
014728,简称缺失,腾讯控股,3.93,27.41,16591.43
014728,简称缺失,大族激光,2.5,258.93,10541.02
014728,简称缺失,ST华通,2.04,416.81,8632.05
014728,简称缺失,中天科技,1.95,435.68,8242.97
014377,简称缺失,豪威集团,9.35,49.5,7482.92
014377,简称缺失,德赛西威,9.26,49.0,7410.27
014377,简称缺失,立讯精密,8.89,110.0,7115.9
014377,简称缺失,小鹏汽车-W,8.82,83.0,7058.66
014377,简称缺失,理想汽车-W,8.21,71.0,6572.91
014377,简称缺失,拓普集团,7.18,71.0,5750.29
014377,简称缺失,兆易创新,5.33,20.0,4266.0
014377,简称缺失,伯特利,5.05,75.0,4041.75
014377,简称缺失,华阳集团,4.99,118.0,3995.48
014377,简称缺失,瑞芯微,4.79,17.0,3834.35
015039,简称缺失,宁德时代,3.99,55.0,22110.0
015039,简称缺失,长川科技,3.05,170.0,16935.4
015039,简称缺失,水晶光电,2.38,500.0,13220.0
015039,简称缺失,中国人寿,2.18,305.0,12090.2
015039,简称缺失,中芯国际,2.02,80.0,11210.4
015039,简称缺失,双良节能,1.91,1750.0,10587.5
015039,简称缺失,中际旭创,1.89,26.0,10495.68
015039,简称缺失,中天科技,1.77,520.0,9838.4
015039,简称缺失,以岭药业,1.7,595.0,9454.61
015039,简称缺失,寒武纪,1.67,7.0,9275.0
014642,简称缺失,宁德时代,9.48,227.31,91378.74
014642,简称缺失,东山精密,8.33,1123.7,80344.6
014642,简称缺失,胜宏科技,8.28,279.67,79846.84
014642,简称缺失,亿纬锂能,7.97,844.82,76878.43
014642,简称缺失,新易盛,7.94,209.4,76592.13
014642,简称缺失,中际旭创,7.47,178.54,72074.88
014642,简称缺失,华友钴业,3.36,492.11,32430.27
014642,简称缺失,徐工机械,3.17,2654.76,30529.74
014642,简称缺失,洛阳钼业,3.04,1869.04,29343.91
014642,简称缺失,艾力斯,2.87,251.22,27694.85
014345,简称缺失,乐普医疗,1.53,92.49,1620.42
014345,简称缺失,国联民生,1.49,140.68,1571.4
014345,简称缺失,中科创达,1.44,19.64,1525.64
014345,简称缺失,璞泰来,1.44,49.03,1516.01
014345,简称缺失,九号公司,1.41,22.21,1485.51
014345,简称缺失,晶晨股份,1.4,13.28,1476.47
014345,简称缺失,完美世界,1.39,76.6,1467.66
014345,简称缺失,横店东磁,1.36,70.15,1437.37
014345,简称缺失,西部超导,1.3,21.09,1372.75
014345,简称缺失,安琪酵母,1.22,32.6,1289.33
014243,简称缺失,拓普集团,8.61,205.09,16610.4
014243,简称缺失,新易盛,8.22,43.33,15848.81
014243,简称缺失,三花智控,7.72,307.47,14890.76
014243,简称缺失,中际旭创,7.05,33.66,13587.87
014243,简称缺失,北特科技,6.58,230.14,12687.62
014243,简称缺失,峰岹科技,6.37,50.48,12278.09
014243,简称缺失,浙江荣泰,4.32,73.93,8323.07
014243,简称缺失,寒武纪,3.04,4.42,5853.19
014243,简称缺失,美湖股份,2.87,124.35,5536.25
014243,简称缺失,隆盛科技,2.66,81.39,5124.36
014130,简称缺失,中际旭创,12.15,51.74,20884.43
014130,简称缺失,新易盛,11.81,55.53,20309.78
014130,简称缺失,科大讯飞,7.08,217.24,12176.1
014130,简称缺失,中科曙光,6.27,90.41,10781.77
014130,简称缺失,浪潮信息,4.36,100.81,7502.5
014130,简称缺失,金山办公,4.18,22.7,7183.51
014130,简称缺失,紫光股份,3.43,195.66,5904.89
014130,简称缺失,恒生电子,2.96,147.68,5097.78
014130,简称缺失,润和软件,2.73,77.55,4699.53
014130,简称缺失,拓维信息,2.06,97.84,3535.94
014320,简称缺失,江波龙,5.98,120.0,21363.6
014320,简称缺失,中芯国际,5.49,270.0,19610.1
014320,简称缺失,兆易创新,5.37,90.0,19197.0
014320,简称缺失,澜起科技,4.86,112.24,17374.41
014320,简称缺失,胜宏科技,4.77,59.69,17041.5
014320,简称缺失,海光信息,4.45,63.0,15913.8
014320,简称缺失,芯原股份,4.35,85.0,15555.0
014320,简称缺失,寒武纪,4.35,11.72,15534.96
014320,简称缺失,佰维存储,4.33,148.37,15474.55
014320,简称缺失,乐鑫科技,4.25,70.0,15180.2
013841,简称缺失,拓荆科技,9.69,209.32,53426.22
013841,简称缺失,华海清科,9.64,321.9,53178.14
013841,简称缺失,中微公司,9.56,176.21,52683.71
013841,简称缺失,芯源微,9.46,350.17,52174.63
013841,简称缺失,富创精密,9.43,700.0,51996.0
013841,简称缺失,北方华创,9.01,109.85,49691.75
013841,简称缺失,精测电子,7.75,544.19,42729.96
013841,简称缺失,中科飞测,7.59,360.85,41869.21
013841,简称缺失,中芯国际,5.93,450.0,32682.4
013841,简称缺失,华虹公司,3.85,185.36,21235.13
014143,简称缺失,中芯国际,9.94,1185.0,166054.05
014143,简称缺失,兆易创新,9.3,729.0,155495.7
014143,简称缺失,海光信息,9.29,615.0,155349.0
014143,简称缺失,寒武纪,8.72,110.0,145750.0
014143,简称缺失,中微公司,8.05,450.0,134545.5
014143,简称缺失,翱捷科技,7.94,1200.49,132653.85
014143,简称缺失,思瑞浦,6.43,620.0,107470.8
014143,简称缺失,华虹公司,6.37,930.0,106540.8
014143,简称缺失,中科曙光,6.21,870.0,103747.5
014143,简称缺失,瑞芯微,5.92,439.0,99016.45
014162,简称缺失,新易盛,9.46,73.52,26892.87
014162,简称缺失,中际旭创,9.44,66.49,26842.5
014162,简称缺失,寒武纪,9.1,19.53,25878.84
014162,简称缺失,海光信息,8.11,91.26,23053.08
014162,简称缺失,麦格米特,6.93,254.37,19705.72
014162,简称缺失,工业富联,6.82,293.91,19400.81
