基金代码,基金名称,单位净值,日增长率,近1月收益,近3月收益,近1年收益,更新时间
012125,未知,1.2549,-1.25,0.0,0.0,0.0,2025-10-31
011892,未知,1.9512,-4.98,0.0,0.0,0.0,2025-10-31
011840,未知,1.505,-3.12,0.0,0.0,0.0,2025-10-31
011823,未知,1.3406,-3.85,0.0,0.0,0.0,2025-10-31
011615,未知,1.0925,-2.94,0.0,0.0,0.0,2025-10-31
011609,未知,1.0825,-2.98,0.0,0.0,0.0,2025-10-31
011584,未知,1.2347,0.53,0.0,0.0,0.0,2025-10-30
011613,未知,1.1108,-2.93,0.0,0.0,0.0,2025-10-31
011499,未知,1.0763,-0.66,0.0,0.0,0.0,2025-10-31
011412,未知,1.7688,-5.02,0.0,0.0,0.0,2025-10-31
011400,未知,0.9667,-5.52,0.0,0.0,0.0,2025-10-31
011370,未知,1.6413,-5.23,0.0,0.0,0.0,2025-10-31
011306,未知,3.593,-3.0,0.0,0.0,0.0,2025-10-31
011329,未知,1.4713,-0.56,0.0,0.0,0.0,2025-10-31
160424,未知,2.4399,-2.77,0.0,0.0,0.0,2025-10-31
011301,未知,1.4883,-3.85,0.0,0.0,0.0,2025-10-31
011145,未知,1.9699,-5.27,0.0,0.0,0.0,2025-10-31
011120,未知,2.458,-5.13,0.0,0.0,0.0,2025-10-31
011237,未知,1.001,-1.09,0.0,0.0,0.0,2025-10-31
011117,未知,2.3585,-1.38,0.0,0.0,0.0,2025-10-31
011068,未知,4.853,-1.5,0.0,0.0,0.0,2025-10-31
011036,未知,1.2718,-2.69,0.0,0.0,0.0,2025-10-31
010865,未知,0.7393,-2.33,0.0,0.0,0.0,2025-10-31
014954,未知,1.2784,-2.34,0.0,0.0,0.0,2025-10-31
010827,未知,2.0818,-0.73,0.0,0.0,0.0,2025-10-31
010791,未知,1.1944,-2.93,0.0,0.0,0.0,2025-10-31
010422,未知,1.3987,-1.35,0.0,0.0,0.0,2025-10-31
010655,未知,1.1265,1.2,0.0,0.0,0.0,2025-10-31
010392,未知,1.6331,-4.56,0.0,0.0,0.0,2025-10-31
010372,未知,1.5777,-3.8,0.0,0.0,0.0,2025-10-31
014377,未知,1.8525,-1.66,0.0,0.0,0.0,2025-10-31
010214,未知,1.0827,-1.99,0.0,0.0,0.0,2025-10-31
010236,未知,3.1111,-2.53,0.0,0.0,0.0,2025-10-31
009995,未知,1.5037,-4.74,0.0,0.0,0.0,2025-10-31
009505,未知,1.9337,1.25,0.0,0.0,0.0,2025-10-31
010004,未知,1.5834,-1.6,0.0,0.0,0.0,2025-10-31
009708,未知,2.7359,-3.44,0.0,0.0,0.0,2025-10-31
009727,未知,1.629,-0.68,0.0,0.0,0.0,2025-10-31
009478,未知,2.0529,1.19,0.0,0.0,0.0,2025-10-31
009034,未知,2.1298,1.24,0.0,0.0,0.0,2025-10-31
008987,未知,1.944,1.27,0.0,0.0,0.0,2025-10-31
008989,未知,2.791,-5.26,0.0,0.0,0.0,2025-10-31
008586,未知,1.358,-3.06,0.0,0.0,0.0,2025-10-31
008920,未知,1.8948,-4.87,0.0,0.0,0.0,2025-10-31
008981,未知,1.9468,-2.14,0.0,0.0,0.0,2025-10-31
008419,未知,1.2485,-1.49,0.0,0.0,0.0,2025-10-31
008532,未知,1.195,-2.38,0.0,0.0,0.0,2025-10-31
008282,未知,1.8671,-3.57,0.0,0.0,0.0,2025-10-31
008319,未知,1.7644,-0.84,0.0,0.0,0.0,2025-10-31
008187,未知,3.335,-1.86,0.0,0.0,0.0,2025-10-31
008087,未知,2.0135,-4.65,0.0,0.0,0.0,2025-10-31
007818,未知,2.5281,-4.93,0.0,0.0,0.0,2025-10-31
008021,未知,1.4149,-3.79,0.0,0.0,0.0,2025-10-31
008182,未知,1.008,0.45,0.0,0.0,0.0,2025-10-31
007950,未知,3.4389,-0.41,0.0,0.0,0.0,2025-10-31
007509,未知,4.571,-1.99,0.0,0.0,0.0,2025-10-31
007465,未知,1.9944,-2.73,0.0,0.0,0.0,2025-10-31
007450,未知,2.4401,-1.01,0.0,0.0,0.0,2025-10-31
007301,未知,2.8261,-3.38,0.0,0.0,0.0,2025-10-31
007029,未知,1.7177,-0.69,0.0,0.0,0.0,2025-10-31
007127,未知,1.6946,-0.53,0.0,0.0,0.0,2025-10-31
007356,未知,3.4295,-3.34,0.0,0.0,0.0,2025-10-31
006888,未知,2.0672,-3.59,0.0,0.0,0.0,2025-10-31
006594,未知,2.2305,-0.4,0.0,0.0,0.0,2025-10-31
006503,未知,3.6819,-5.26,0.0,0.0,0.0,2025-10-31
006249,未知,1.8608,-2.17,0.0,0.0,0.0,2025-10-31
006328,未知,1.2464,-0.03,0.0,0.0,0.0,2025-10-30
006166,未知,1.9611,0.09,0.0,0.0,0.0,2025-10-31
005963,未知,4.0899,-3.44,0.0,0.0,0.0,2025-10-31
005919,未知,1.4449,-0.7,0.0,0.0,0.0,2025-10-31
005763,未知,3.3397,-2.93,0.0,0.0,0.0,2025-10-31
011452,未知,1.5037,-6.11,0.0,0.0,0.0,2025-10-31
005491,未知,1.9123,-1.46,0.0,0.0,0.0,2025-10-31
005300,未知,3.9217,-2.66,0.0,0.0,0.0,2025-10-31
005633,未知,3.1735,-0.79,0.0,0.0,0.0,2025-10-31
004815,未知,2.0992,-0.93,0.0,0.0,0.0,2025-10-31
004744,未知,3.1786,-2.2,0.0,0.0,0.0,2025-10-31
004433,未知,1.6875,-2.26,0.0,0.0,0.0,2025-10-31
004343,未知,1.6194,-2.2,0.0,0.0,0.0,2025-10-31
004348,未知,1.9955,-0.7,0.0,0.0,0.0,2025-10-31
004241,未知,1.7584,-1.26,0.0,0.0,0.0,2025-10-31
004237,未知,2.6585,-2.39,0.0,0.0,0.0,2025-10-31
004235,未知,5.0494,0.27,0.0,0.0,0.0,2025-10-31
003766,未知,1.722,-2.25,0.0,0.0,0.0,2025-10-31
004195,未知,2.0278,-0.03,0.0,0.0,0.0,2025-10-31
002207,未知,2.348,0.0,0.0,0.0,0.0,2025-10-31
002170,未知,5.7798,-3.03,0.0,0.0,0.0,2025-10-31
002112,未知,3.2544,-6.25,0.0,0.0,0.0,2025-10-31
002052,未知,2.083,2.16,0.0,0.0,0.0,2025-10-31
002036,未知,3.3889,0.33,0.0,0.0,0.0,2025-10-31
001770,未知,2.24,1.82,0.0,0.0,0.0,2025-10-31
001618,未知,1.9599,-3.59,0.0,0.0,0.0,2025-10-31
001593,未知,1.2626,-2.19,0.0,0.0,0.0,2025-10-31
001557,未知,1.5404,-0.84,0.0,0.0,0.0,2025-10-31
001301,未知,2.599,-0.61,0.0,0.0,0.0,2025-10-31
008327,未知,2.3856,-4.85,0.0,0.0,0.0,2025-10-31
007491,未知,2.4154,-3.7,0.0,0.0,0.0,2025-10-31
003305,未知,4.711,-3.03,0.0,0.0,0.0,2025-10-31
002096,未知,1.6445,-1.93,0.0,0.0,0.0,2025-10-31
001407,未知,3.946,-3.0,0.0,0.0,0.0,2025-10-31
