基金代码,基金名称,单位净值,日增长率,近1月收益,近3月收益,近1年收益,更新时间
005919,天弘中证500ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
007450,兴全多维价值混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005633,建信中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006328,易方达中证海外互联网50ETF联接(QDII)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
006249,华夏创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005763,中欧电子信息产业沪港深股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005491,兴全合宜混合(LOF)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
005300,万家成长优选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004815,中欧红利优享混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004744,易方达创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004343,南方创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004348,南方中证500ETF联接(LOF)C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004237,中欧新蓝筹混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004433,南方中证申万有色金属ETF发起联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004195,招商中证1000指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
003766,广发创业板ETF发起式联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004235,中欧价值智选混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
003305,前海开源沪港深核心资源混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
004241,中欧时代先锋股票C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002207,前海开源金银珠宝混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002112,德邦鑫星价值灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002170,东吴移动互联混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001770,前海开源嘉鑫混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002036,安信优势增长混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002052,诺安稳健回报混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001593,天弘创业板ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001557,天弘中证500指数增强C,0.0,0.0,0.0,0.0,0.0,2025-11-01
002096,博时新收益C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001407,景顺长城稳健回报混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001618,天弘中证电子ETF联接C,0.0,0.0,0.0,0.0,0.0,2025-11-01
001301,大成睿景灵活配置混合C,0.0,0.0,0.0,0.0,0.0,2025-11-01
