基金简称,资产规模,基金类型,最新日涨跌幅,最新净值,管理费率,基金代码,起始日期,结束日期,年化收益率(总),年化标准差(总),最大回撤(MDD),夏普比率(总),平均滚动年化收益率(1月),平均滚动年化收益率(1季度),平均滚动年化收益率(半年),平均滚动年化收益率(1年)
名称查找失败(007984),N/A,N/A,N/A,N/A,N/A,007984,2019-11-21,2025-11-07,11.64%,23.39%,-46.21%,0.412,11.42%,9.76%,7.49%,3.21%
名称查找失败(006910),N/A,N/A,N/A,N/A,N/A,006910,2019-06-05,2025-11-07,12.12%,24.86%,-59.31%,0.407,11.73%,10.44%,7.10%,3.14%
名称查找失败(014345),N/A,N/A,N/A,N/A,N/A,014345,2022-01-11,2025-11-07,9.83%,19.65%,-23.33%,0.399,10.22%,10.08%,8.34%,5.97%
名称查找失败(016277),N/A,N/A,N/A,N/A,N/A,016277,2022-08-23,2025-11-07,8.82%,17.32%,-22.66%,0.394,10.91%,10.17%,6.92%,4.97%
名称查找失败(007665),N/A,N/A,N/A,N/A,N/A,007665,2019-09-10,2025-11-07,12.05%,25.56%,-51.50%,0.393,12.18%,11.40%,7.72%,4.20%
名称查找失败(008001),N/A,N/A,N/A,N/A,N/A,008001,2020-01-15,2025-11-07,9.06%,18.41%,-34.02%,0.383,8.54%,9.21%,6.72%,4.03%
名称查找失败(014544),N/A,N/A,N/A,N/A,N/A,014544,2021-12-28,2025-11-07,14.64%,33.49%,-46.36%,0.377,15.56%,18.38%,17.26%,17.39%
名称查找失败(015454),N/A,N/A,N/A,N/A,N/A,015454,2022-05-06,2025-11-07,9.19%,19.28%,-28.40%,0.373,8.86%,7.75%,5.74%,3.89%
名称查找失败(015600),N/A,N/A,N/A,N/A,N/A,015600,2022-05-20,2025-11-07,11.38%,26.92%,-40.55%,0.349,10.16%,6.43%,2.60%,0.24%
名称查找失败(007029),N/A,N/A,N/A,N/A,N/A,007029,2019-03-20,2025-11-07,8.75%,19.55%,-36.50%,0.345,8.67%,8.84%,7.78%,6.79%
名称查找失败(001301),N/A,N/A,N/A,N/A,N/A,001301,2015-05-26,2025-11-07,10.01%,23.36%,-49.20%,0.343,12.74%,12.78%,11.84%,12.20%
名称查找失败(009239),N/A,N/A,N/A,N/A,N/A,009239,2020-04-01,2025-11-07,12.09%,29.50%,-47.18%,0.342,11.33%,9.68%,4.41%,2.38%
名称查找失败(014219),N/A,N/A,N/A,N/A,N/A,014219,2022-03-29,2025-11-07,11.49%,28.44%,-42.88%,0.334,12.66%,9.19%,1.41%,-1.56%
名称查找失败(015673),N/A,N/A,N/A,N/A,N/A,015673,2022-05-10,2025-11-07,11.07%,27.24%,-43.55%,0.333,9.14%,4.87%,0.65%,-1.54%
名称查找失败(016123),N/A,N/A,N/A,N/A,N/A,016123,2022-08-31,2025-11-07,10.99%,27.31%,-39.64%,0.329,10.71%,7.90%,1.33%,0.00%
名称查找失败(010524),N/A,N/A,N/A,N/A,N/A,010524,2021-01-04,2025-11-07,11.98%,30.69%,-43.14%,0.325,11.24%,12.02%,7.29%,3.31%
名称查找失败(015508),N/A,N/A,N/A,N/A,N/A,015508,2022-06-07,2025-11-07,8.05%,18.85%,-29.82%,0.321,7.50%,6.96%,5.41%,3.61%
名称查找失败(014130),N/A,N/A,N/A,N/A,N/A,014130,2021-11-30,2025-11-07,12.18%,34.08%,-48.73%,0.299,12.35%,13.03%,13.80%,16.00%
名称查找失败(006215),N/A,N/A,N/A,N/A,N/A,006215,2018-09-05,2025-11-07,7.44%,19.25%,-34.77%,0.282,7.42%,8.00%,7.17%,5.79%
名称查找失败(011840),N/A,N/A,N/A,N/A,N/A,011840,2021-08-17,2025-11-07,10.30%,31.20%,-42.63%,0.266,10.94%,10.40%,5.24%,6.53%
名称查找失败(007874),N/A,N/A,N/A,N/A,N/A,007874,2019-08-30,2025-11-07,8.80%,25.61%,-52.63%,0.265,8.51%,7.70%,3.82%,0.11%
名称查找失败(070039),N/A,N/A,N/A,N/A,N/A,070039,2018-09-13,2025-11-07,7.47%,20.86%,-38.43%,0.262,7.96%,8.00%,6.69%,5.19%
名称查找失败(006382),N/A,N/A,N/A,N/A,N/A,006382,2018-09-19,2025-11-07,7.41%,20.87%,-38.77%,0.259,8.23%,8.07%,6.62%,5.20%
名称查找失败(010531),N/A,N/A,N/A,N/A,N/A,010531,2020-11-11,2025-11-07,9.24%,28.13%,-49.04%,0.257,9.49%,7.42%,4.20%,0.81%
名称查找失败(005795),N/A,N/A,N/A,N/A,N/A,005795,2018-04-03,2025-11-07,7.31%,20.74%,-41.99%,0.256,7.57%,7.54%,7.21%,7.56%
名称查找失败(007816),N/A,N/A,N/A,N/A,N/A,007816,2019-11-01,2025-11-07,7.56%,24.28%,-45.48%,0.229,7.13%,5.11%,2.59%,-1.22%
名称查找失败(011833),N/A,N/A,N/A,N/A,N/A,011833,2021-06-08,2025-11-07,9.02%,31.49%,-48.39%,0.223,8.63%,6.82%,3.28%,3.22%
名称查找失败(015795),N/A,N/A,N/A,N/A,N/A,015795,2022-08-18,2025-11-07,7.74%,27.55%,-39.96%,0.208,8.93%,8.55%,2.59%,-0.00%
名称查找失败(012040),N/A,N/A,N/A,N/A,N/A,012040,2021-04-14,2025-11-07,7.49%,27.42%,-47.31%,0.200,7.33%,4.90%,0.99%,-0.13%
名称查找失败(010356),N/A,N/A,N/A,N/A,N/A,010356,2020-10-28,2025-11-07,7.55%,27.82%,-52.62%,0.200,6.38%,3.92%,0.15%,-3.99%
名称查找失败(007223),N/A,N/A,N/A,N/A,N/A,007223,2020-02-18,2025-11-07,5.88%,19.63%,-39.17%,0.198,5.75%,6.20%,3.56%,1.28%
名称查找失败(008888),N/A,N/A,N/A,N/A,N/A,008888,2020-06-02,2025-11-07,8.38%,32.91%,-59.94%,0.194,8.20%,4.75%,2.54%,1.28%
名称查找失败(004744),N/A,N/A,N/A,N/A,N/A,004744,2017-06-05,2025-11-07,7.07%,26.62%,-55.33%,0.191,6.51%,6.10%,3.92%,3.23%
名称查找失败(013278),N/A,N/A,N/A,N/A,N/A,013278,2021-08-17,2025-11-07,7.38%,28.92%,-45.76%,0.186,6.94%,6.05%,2.86%,3.68%
名称查找失败(004433),N/A,N/A,N/A,N/A,N/A,004433,2017-09-08,2025-11-07,6.95%,27.79%,-51.27%,0.178,7.06%,6.48%,4.70%,4.85%
名称查找失败(015337),N/A,N/A,N/A,N/A,N/A,015337,2022-03-23,2025-11-07,7.62%,33.02%,-45.06%,0.170,11.35%,10.17%,5.55%,6.13%
名称查找失败(001618),N/A,N/A,N/A,N/A,N/A,001618,2015-07-29,2025-11-07,6.90%,28.80%,-49.28%,0.170,7.21%,7.50%,5.49%,5.45%
名称查找失败(013894),N/A,N/A,N/A,N/A,N/A,013894,2022-05-24,2025-11-07,6.50%,28.22%,-43.99%,0.159,7.16%,5.48%,2.64%,1.07%
名称查找失败(013081),N/A,N/A,N/A,N/A,N/A,013081,2021-08-26,2025-11-07,6.00%,26.52%,-47.96%,0.151,4.60%,4.07%,1.42%,-0.39%
名称查找失败(005919),N/A,N/A,N/A,N/A,N/A,005919,2018-04-24,2025-11-07,5.13%,20.83%,-37.81%,0.150,4.99%,5.62%,5.49%,5.62%
名称查找失败(011965),N/A,N/A,N/A,N/A,N/A,011965,2022-08-01,2025-11-07,4.78%,20.09%,-30.66%,0.139,4.99%,5.74%,2.94%,0.79%
名称查找失败(014985),N/A,N/A,N/A,N/A,N/A,014985,2022-02-22,2025-11-07,6.05%,29.86%,-47.45%,0.135,5.78%,5.98%,-0.18%,-2.61%
名称查找失败(013122),N/A,N/A,N/A,N/A,N/A,013122,2021-08-26,2025-11-07,5.65%,27.27%,-43.94%,0.134,6.24%,5.10%,1.43%,3.12%
名称查找失败(014777),N/A,N/A,N/A,N/A,N/A,014777,2022-01-18,2025-11-07,6.23%,32.67%,-46.93%,0.129,7.65%,7.80%,5.18%,5.72%
名称查找失败(013331),N/A,N/A,N/A,N/A,N/A,013331,2021-08-19,2025-11-07,4.84%,22.14%,-37.53%,0.128,3.58%,3.95%,2.11%,1.56%
名称查找失败(014173),N/A,N/A,N/A,N/A,N/A,014173,2021-12-02,2025-11-07,5.61%,28.14%,-43.67%,0.128,5.42%,6.18%,6.33%,7.96%
名称查找失败(013084),N/A,N/A,N/A,N/A,N/A,013084,2021-08-26,2025-11-07,5.36%,26.41%,-45.20%,0.127,5.99%,5.87%,3.24%,5.66%
名称查找失败(012551),N/A,N/A,N/A,N/A,N/A,012551,2021-07-19,2025-11-07,5.39%,26.89%,-48.11%,0.126,5.47%,5.26%,1.05%,2.63%
名称查找失败(011036),N/A,N/A,N/A,N/A,N/A,011036,2021-08-03,2025-11-07,5.59%,28.88%,-56.31%,0.124,5.02%,3.47%,-0.95%,-3.03%
名称查找失败(014194),N/A,N/A,N/A,N/A,N/A,014194,2021-12-02,2025-11-07,5.82%,32.94%,-49.01%,0.116,6.81%,6.68%,5.65%,6.21%
名称查找失败(014332),N/A,N/A,N/A,N/A,N/A,014332,2021-12-14,2025-11-07,4.96%,27.45%,-50.15%,0.108,6.20%,6.23%,4.05%,-0.06%
名称查找失败(501037),N/A,N/A,N/A,N/A,N/A,501037,2017-08-10,2025-11-07,4.01%,20.48%,-37.80%,0.098,3.89%,3.90%,3.14%,3.57%
名称查找失败(002974),N/A,N/A,N/A,N/A,N/A,002974,2016-07-06,2025-11-07,3.77%,26.78%,-51.30%,0.066,3.96%,3.56%,2.16%,2.03%
名称查找失败(005727),N/A,N/A,N/A,N/A,N/A,005727,2018-03-07,2025-11-07,3.47%,24.14%,-44.99%,0.061,3.16%,3.28%,3.34%,4.72%
名称查找失败(014419),N/A,N/A,N/A,N/A,N/A,014419,2021-12-23,2025-11-07,3.78%,34.08%,-54.80%,0.052,6.18%,6.36%,5.50%,6.60%
名称查找失败(004348),N/A,N/A,N/A,N/A,N/A,004348,2017-02-27,2025-11-07,2.73%,19.15%,-36.58%,0.038,2.53%,2.53%,1.72%,0.95%
名称查找失败(013303),N/A,N/A,N/A,N/A,N/A,013303,2021-08-24,2025-11-07,2.94%,26.84%,-53.22%,0.035,2.21%,-0.21%,-4.08%,-3.99%
名称查找失败(012809),N/A,N/A,N/A,N/A,N/A,012809,2021-12-07,2025-11-07,2.70%,25.42%,-44.70%,0.028,3.16%,4.26%,5.18%,5.62%
名称查找失败(012553),N/A,N/A,N/A,N/A,N/A,012553,2021-07-21,2025-11-07,2.83%,32.39%,-53.70%,0.026,3.75%,2.76%,-0.73%,0.92%
名称查找失败(011317),N/A,N/A,N/A,N/A,N/A,011317,2021-05-07,2025-11-07,2.65%,26.20%,-51.85%,0.025,1.89%,-0.06%,-3.27%,-3.98%
名称查找失败(001593),N/A,N/A,N/A,N/A,N/A,001593,2015-07-08,2025-11-07,2.41%,28.78%,-58.82%,0.014,1.42%,2.34%,0.22%,0.22%
名称查找失败(011613),N/A,N/A,N/A,N/A,N/A,011613,2021-03-04,2025-11-07,2.39%,27.73%,-57.72%,0.014,2.36%,-0.57%,-4.95%,-5.90%
名称查找失败(012718),N/A,N/A,N/A,N/A,N/A,012718,2022-02-14,2025-11-07,2.31%,24.08%,-41.52%,0.013,2.38%,2.84%,-1.57%,-2.83%
名称查找失败(013305),N/A,N/A,N/A,N/A,N/A,013305,2021-08-24,2025-11-07,2.21%,27.10%,-53.81%,0.008,1.68%,-0.85%,-4.70%,-4.75%
名称查找失败(011611),N/A,N/A,N/A,N/A,N/A,011611,2021-03-04,2025-11-07,2.00%,27.57%,-58.15%,-0.000,2.07%,-0.49%,-5.04%,-6.14%
名称查找失败(010956),N/A,N/A,N/A,N/A,N/A,010956,2021-01-19,2025-11-07,1.99%,28.53%,-47.47%,-0.000,3.60%,5.28%,2.95%,0.55%
名称查找失败(014172),N/A,N/A,N/A,N/A,N/A,014172,2021-12-07,2025-11-07,2.01%,26.34%,-47.07%,0.000,1.67%,2.07%,1.70%,1.32%
名称查找失败(012970),N/A,N/A,N/A,N/A,N/A,012970,2021-08-24,2025-11-07,2.01%,31.73%,-56.51%,0.000,2.51%,0.40%,-3.06%,-1.64%
名称查找失败(013292),N/A,N/A,N/A,N/A,N/A,013292,2021-08-24,2025-11-07,1.90%,28.52%,-48.24%,-0.003,3.41%,2.39%,-1.03%,0.68%
名称查找失败(011609),N/A,N/A,N/A,N/A,N/A,011609,2021-03-01,2025-11-07,1.80%,27.76%,-58.34%,-0.007,1.96%,-1.35%,-5.43%,-6.30%
名称查找失败(013318),N/A,N/A,N/A,N/A,N/A,013318,2021-08-25,2025-11-07,1.74%,26.63%,-52.58%,-0.010,1.38%,-1.16%,-4.81%,-4.96%
名称查找失败(013299),N/A,N/A,N/A,N/A,N/A,013299,2021-08-19,2025-11-07,1.67%,27.44%,-53.94%,-0.012,1.22%,-1.29%,-4.74%,-4.80%
名称查找失败(012630),N/A,N/A,N/A,N/A,N/A,012630,2021-08-09,2025-11-07,1.04%,31.78%,-57.14%,-0.030,1.75%,0.56%,-3.05%,-1.61%
名称查找失败(012908),N/A,N/A,N/A,N/A,N/A,012908,2021-07-16,2025-11-07,0.90%,27.66%,-54.03%,-0.040,0.59%,-0.92%,-5.52%,-5.37%
名称查找失败(012899),N/A,N/A,N/A,N/A,N/A,012899,2021-07-14,2025-11-07,0.90%,27.49%,-54.17%,-0.040,1.58%,0.19%,-4.09%,-3.80%
名称查找失败(012555),N/A,N/A,N/A,N/A,N/A,012555,2021-12-01,2025-11-07,0.29%,28.52%,-54.22%,-0.060,1.39%,2.54%,-0.42%,-2.90%
名称查找失败(013316),N/A,N/A,N/A,N/A,N/A,013316,2021-08-24,2025-11-07,0.32%,27.10%,-53.87%,-0.062,0.74%,-1.59%,-5.52%,-5.56%
名称查找失败(013811),N/A,N/A,N/A,N/A,N/A,013811,2021-10-20,2025-11-07,-0.30%,28.21%,-56.11%,-0.082,-0.70%,-2.29%,-3.69%,-3.05%
名称查找失败(012838),N/A,N/A,N/A,N/A,N/A,012838,2021-08-03,2025-11-07,-1.19%,32.18%,-58.40%,-0.099,0.18%,-0.30%,-4.02%,-2.48%
名称查找失败(013277),N/A,N/A,N/A,N/A,N/A,013277,2021-08-17,2025-11-07,-1.30%,25.57%,-52.56%,-0.129,-1.95%,-3.53%,-7.01%,-7.17%
名称查找失败(012901),N/A,N/A,N/A,N/A,N/A,012901,2021-11-16,2025-11-07,-3.02%,26.08%,-57.50%,-0.192,-3.45%,-3.04%,-4.35%,-6.07%
名称查找失败(010063),N/A,N/A,N/A,N/A,N/A,010063,2020-10-27,2025-11-07,-1.94%,18.95%,-55.41%,-0.208,-3.76%,-5.50%,-7.89%,-9.24%
名称查找失败(005627),N/A,N/A,N/A,N/A,N/A,005627,2022-01-25,2025-11-07,3.46%,N/A,-100.00%,N/A,inf%,inf%,inf%,inf%
