基金代码,基金简称,日增长率,近1周,近1月,近3月,近半年,近1年,近2年,近3年,今年来,成立来,十大重仓
021500,简称缺失,,,,,,,,,,,"[['中际旭创', 9.17, 22.67, 9151.43], ['新易盛', 8.55, 23.31, 8526.79], ['沪电股份', 6.26, 84.92, 6239.07], ['工业富联', 5.58, 84.29, 5563.98], ['胜宏科技', 5.07, 17.71, 5056.21], ['宁德时代', 5.07, 12.57, 5053.14], ['源杰科技', 4.79, 11.13, 4773.78], ['兆易创新', 4.28, 20.0, 4266.0], ['拓普集团', 4.21, 51.86, 4200.14], ['浙江荣泰', 3.98, 35.3, 3974.07]]"
008888,简称缺失,,,,,,,,,,,"[['北方华创', 0.02, 0.8, 361.89], ['紫光国微', 0.01, 1.6, 144.5], ['华电新能', 0.01, 25.46, 134.15], ['通富微电', 0.01, 2.6, 104.44], ['圣邦股份', 0.01, 1.0, 83.29], ['北京君正', 0.0, 0.8, 71.21], ['华天科技', 0.0, 5.8, 68.32], ['卓胜微', 0.0, 0.8, 66.5], ['景嘉微', 0.0, 0.8, 66.2], ['晶盛机电', 0.0, 1.4, 63.71]]"
519022,简称缺失,,,,,,,,,,,"[['顺丰控股', 8.85, 442.69, 17853.73], ['传音控股', 8.43, 180.57, 17009.52], ['美的集团', 8.35, 231.73, 16837.82], ['东鹏饮料', 7.91, 52.94, 15954.01], ['宁德时代', 7.87, 39.49, 15874.14], ['立讯精密', 7.83, 243.97, 15782.35], ['百济神州', 6.94, 45.62, 14002.19], ['恒瑞医药', 6.61, 186.31, 13330.42], ['贵州茅台', 5.94, 8.3, 11979.34], ['迈瑞医疗', 5.03, 41.32, 10150.81]]"
160424,简称缺失,,,,,,,,,,,"[['赢时胜', 0.03, 0.48, 5.38], ['安科生物', 0.02, 0.35, 5.27], ['三环集团', 0.0, 0.05, 1.0], ['机器人', 0.0, 0.01, 0.14]]"
019548,简称缺失,,,,,,,,,,,[]
018994,简称缺失,,,,,,,,,,,"[['新易盛', 9.41, 335.13, 122579.04], ['阿里巴巴-W', 8.99, 724.57, 117090.51], ['中际旭创', 8.63, 278.48, 112416.81], ['天孚通信', 5.06, 392.59, 65877.22], ['新泉股份', 5.04, 790.4, 65635.19], ['三花智控', 4.4, 1184.24, 57352.91], ['腾讯控股', 4.24, 91.31, 55270.86], ['中芯国际', 3.52, 631.95, 45898.53], ['沪电股份', 3.45, 611.41, 44920.24], ['生益科技', 3.39, 818.19, 44198.83]]"
017811,简称缺失,,,,,,,,,,,"[['中微公司', 9.19, 166.75, 49855.95], ['北方华创', 9.14, 109.65, 49602.09], ['芯源微', 9.11, 331.59, 49406.64], ['拓荆科技', 9.1, 189.84, 49392.99], ['华海清科', 9.06, 297.59, 49161.46], ['中科飞测', 8.79, 411.17, 47708.4], ['盛美上海', 8.46, 227.48, 45906.21], ['京仪装备', 8.31, 447.24, 45090.57], ['富创精密', 8.03, 586.72, 43581.44], ['精测电子', 7.81, 539.31, 42346.83]]"
017437,简称缺失,,,,,,,,,,,[]
016616,简称缺失,,,,,,,,,,,"[['聚和材料', 9.77, 341.36, 27971.13], ['良信股份', 8.92, 2250.98, 25548.6], ['凯迪股份', 8.56, 260.39, 24502.6], ['新泉股份', 8.32, 286.78, 23814.46], ['峰岹科技', 7.82, 92.04, 22386.97], ['思源电气', 6.76, 177.69, 19371.72], ['骏鼎达', 6.19, 189.01, 17728.99], ['石英股份', 5.95, 420.66, 17028.32], ['翔楼新材', 5.52, 264.41, 15809.25], ['凌云股份', 4.58, 942.2, 13115.38]]"
016600,简称缺失,,,,,,,,,,,"[['兆易创新', 9.71, 189.06, 40326.6], ['海光信息', 9.63, 158.27, 39979.66], ['新易盛', 9.4, 106.69, 39023.38], ['中际旭创', 9.21, 94.75, 38250.29], ['天孚通信', 8.0, 197.94, 33214.94], ['中兴通讯', 6.66, 605.98, 27656.93], ['恒玄科技', 6.4, 89.34, 26579.87], ['乐鑫科技', 4.74, 90.81, 19692.12], ['荃银高科', 3.58, 1619.42, 14850.1], ['潞安环能', 3.54, 1033.39, 14715.47]]"
016465,简称缺失,,,,,,,,,,,"[['宁德时代', 7.79, 54.78, 22022.57], ['电连技术', 5.51, 273.32, 15579.33], ['腾讯控股', 4.89, 22.85, 13831.24], ['高伟电子', 4.37, 347.1, 12358.92], ['三环集团', 3.94, 240.25, 11130.9], ['信达生物', 3.86, 124.1, 10922.2], ['东山精密', 3.58, 141.64, 10127.4], ['继峰股份', 3.55, 757.36, 10050.14], ['立讯精密', 3.54, 154.55, 9997.67], ['科博达', 3.45, 93.19, 9745.47]]"
016371,简称缺失,,,,,,,,,,,"[['沪电股份', 9.85, 601.57, 44197.37], ['胜宏科技', 9.8, 154.0, 43966.89], ['工业富联', 9.69, 658.75, 43484.4], ['新易盛', 9.57, 117.43, 42953.1], ['天孚通信', 9.55, 255.38, 42851.94], ['中际旭创', 9.51, 105.69, 42666.68], ['宏和科技', 6.58, 846.69, 29524.08], ['铜冠铜箔', 6.53, 937.8, 29287.5], ['麦格米特', 5.54, 321.13, 24878.28], ['长芯博创', 5.24, 229.33, 23498.13]]"
016283,简称缺失,,,,,,,,,,,"[['金风科技', 4.4, 270.88, 4055.07], ['中国建筑', 3.94, 666.38, 3631.77], ['松原安全', 3.86, 89.16, 3557.67], ['海尔智家', 3.85, 139.82, 3541.64], ['华域汽车', 3.64, 163.73, 3356.47], ['科达制造', 3.46, 260.72, 3188.61], ['新澳股份', 3.25, 440.15, 2993.02], ['中信特钢', 3.05, 206.29, 2809.67], ['中联重科', 2.98, 342.49, 2743.34], ['海信家电', 2.75, 97.09, 2528.22]]"
016238,简称缺失,,,,,,,,,,,"[['澜起科技', 5.17, 43.17, 6682.02], ['翱捷科技', 3.98, 46.49, 5136.86], ['概伦电子', 3.74, 114.58, 4836.34], ['杰华特', 3.33, 74.14, 4303.58], ['北京君正', 3.23, 46.83, 4168.34], ['华勤技术', 3.22, 39.48, 4159.31], ['东材科技', 3.19, 203.3, 4114.79], ['昊华科技', 2.98, 125.17, 3845.22], ['佰维存储', 2.97, 36.76, 3834.42], ['江波龙', 2.64, 19.14, 3407.16]]"
016068,简称缺失,,,,,,,,,,,"[['拓普集团', 5.26, 158.37, 12826.78], ['亿纬锂能', 4.33, 115.88, 10545.35], ['华友钴业', 4.23, 156.47, 10311.66], ['三花智控', 3.95, 199.05, 9639.99], ['天赐材料', 3.59, 229.3, 8752.54], ['中创新航', 3.43, 257.97, 8351.59], ['兆丰股份', 3.16, 74.37, 7705.15], ['赣锋锂业', 2.78, 111.47, 6786.42], ['湖南裕能', 2.75, 111.13, 6714.52], ['富临精工', 2.75, 302.13, 6713.26]]"
016049,简称缺失,,,,,,,,,,,"[['环旭电子', 7.9, 1444.14, 31583.29], ['长飞光纤光缆', 7.31, 675.89, 29200.02], ['微创医疗', 5.29, 1679.12, 21140.12], ['固德威', 2.77, 171.04, 11064.87], ['TCL中环', 2.5, 1106.0, 10009.26], ['阳光保险', 2.32, 2641.8, 9261.74], ['阿里巴巴-W', 1.98, 48.95, 7910.87], ['阅文集团', 1.95, 216.28, 7795.69], ['中国海洋石油', 1.93, 443.46, 7708.76], ['金山云', 1.87, 998.8, 7486.57]]"
015971,简称缺失,,,,,,,,,,,"[['宁德时代', 8.69, 18.5, 7436.2], ['中际旭创', 7.85, 16.63, 6713.2], ['新易盛', 7.58, 17.73, 6483.64], ['腾讯控股', 6.07, 8.58, 5193.34], ['中芯国际', 5.2, 61.3, 4451.89], ['阿里巴巴-W', 4.06, 21.48, 3471.11], ['德赛西威', 3.99, 22.59, 3416.29], ['英科医疗', 3.23, 75.26, 2764.92], ['药明合联', 2.97, 35.55, 2541.34], ['天孚通信', 2.44, 12.44, 2087.43]]"
015968,简称缺失,,,,,,,,,,,"[['中芯国际', 9.85, 1280.0, 92963.28], ['北方华创', 8.63, 180.0, 81424.8], ['中科飞测', 7.38, 600.0, 69618.0], ['汇成真空', 7.34, 400.0, 69252.0], ['茂莱光学', 6.98, 150.0, 65850.0], ['奥普光电', 5.8, 950.0, 54767.5], ['福晶科技', 5.27, 1000.0, 49700.0], ['芯源微', 4.74, 300.0, 44700.0], ['华海清科', 4.38, 250.0, 41300.0], ['燕东微', 3.78, 1300.0, 35659.0]]"
015947,简称缺失,,,,,,,,,,,"[['睿创微纳', 6.54, 131.96, 11670.49], ['长芯博创', 5.7, 95.69, 10168.98], ['天奈科技', 4.77, 123.6, 8511.05], ['佳驰科技', 3.86, 96.68, 6897.85], ['紫金矿业', 3.7, 224.37, 6605.45], ['天孚通信', 3.66, 38.89, 6525.74], ['中际旭创', 3.29, 14.55, 5873.54], ['完美世界', 2.75, 256.39, 4912.43], ['应流股份', 2.74, 150.42, 4891.66], ['三环集团', 2.65, 102.21, 4735.39]]"
015877,简称缺失,,,,,,,,,,,"[['工业富联', 0.08, 0.52, 13.1], ['长电科技', 0.03, 0.16, 5.65], ['和辉光电', 0.02, 1.36, 3.43], ['珠海冠宇', 0.02, 0.17, 2.88], ['闻泰科技', 0.01, 0.07, 2.29], ['芯原股份', 0.01, 0.04, 1.44], ['同方股份', 0.01, 0.18, 1.13], ['立昂微', 0.01, 0.04, 0.97]]"
015868,简称缺失,,,,,,,,,,,"[['紫江企业', 0.83, 248.54, 1839.2], ['同方股份', 0.8, 219.91, 1783.47], ['华邦健康', 0.79, 388.43, 1767.36], ['中色股份', 0.78, 256.51, 1739.12], ['剑桥科技', 0.74, 12.97, 1657.57], ['四川黄金', 0.74, 59.58, 1650.96], ['云天励飞', 0.73, 18.25, 1615.19], ['概伦电子', 0.67, 35.24, 1487.29], ['微芯生物', 0.66, 45.62, 1463.57], ['海正药业', 0.64, 137.23, 1427.19]]"
015751,简称缺失,,,,,,,,,,,"[['泡泡玛特', 8.12, 475.14, 115736.06], ['工业富联', 7.62, 1644.25, 108536.98], ['小米集团-W', 7.59, 2193.36, 108134.67], ['新易盛', 7.5, 292.19, 106873.28], ['水晶光电', 7.29, 3928.99, 103882.62], ['腾讯控股', 6.74, 158.59, 95995.44], ['九号公司', 6.18, 1321.64, 88093.54], ['老铺黄金', 6.02, 131.91, 85747.01], ['高伟电子', 5.97, 2387.0, 84992.05], ['蓝思科技', 5.92, 2520.23, 84377.14]]"
015690,简称缺失,,,,,,,,,,,"[['深南电路', 9.39, 187.84, 40693.7], ['兆易创新', 6.48, 131.62, 28074.55], ['巨人网络', 6.34, 607.45, 27444.61], ['东山精密', 5.21, 315.88, 22585.42], ['新易盛', 5.17, 61.19, 22381.8], ['中际旭创', 4.86, 52.13, 21044.65], ['沪电股份', 3.61, 213.04, 15652.2], ['华曙高科', 3.5, 288.46, 15181.89], ['绿联科技', 3.38, 235.74, 14629.6], ['瑞芯微', 3.19, 61.28, 13821.7]]"
015686,简称缺失,,,,,,,,,,,"[['新易盛', 9.42, 254.02, 92914.36], ['寒武纪', 9.01, 67.05, 88841.65], ['中际旭创', 8.72, 212.95, 85965.27], ['兆易创新', 8.48, 392.2, 83656.52], ['沪电股份', 7.49, 1004.73, 73817.62], ['深南电路', 5.76, 262.05, 56770.73], ['南芯科技', 3.51, 670.24, 34577.61], ['龙迅股份', 3.34, 442.44, 32891.33], ['瑞芯微', 3.31, 144.77, 32653.93], ['东山精密', 3.29, 453.18, 32402.08]]"
015683,简称缺失,,,,,,,,,,,"[['中际旭创', 8.61, 47.8, 19295.9], ['新易盛', 8.56, 52.49, 19199.78], ['腾讯控股', 7.83, 28.99, 17547.81], ['阿里巴巴-W', 6.49, 90.0, 14543.77], ['工业富联', 6.34, 215.38, 14216.97], ['沪电股份', 6.23, 190.1, 13966.48], ['拓普集团', 4.6, 127.44, 10321.37], ['源杰科技', 3.83, 20.0, 8580.0], ['恺英网络', 3.32, 265.15, 7445.29], ['小米集团-W', 3.3, 150.0, 7395.14]]"
015642,简称缺失,,,,,,,,,,,"[['歌尔股份', 5.84, 247.15, 9268.05], ['申通快递', 5.6, 496.51, 8887.53], ['九方智投控股', 5.49, 128.05, 8721.27], ['龙旗科技', 5.24, 173.3, 8318.19], ['圆通速递', 5.14, 444.63, 8158.95], ['京仪装备', 4.7, 74.07, 7467.57], ['开普云', 4.43, 34.33, 7038.18], ['合锻智能', 4.06, 328.09, 6446.97], ['灿芯股份', 3.4, 53.01, 5401.0], ['晶合集成', 3.15, 143.77, 5010.28]]"
015508,简称缺失,,,,,,,,,,,"[['通富微电', 1.28, 19.61, 787.73], ['西部矿业', 1.2, 33.69, 741.18], ['赤峰黄金', 1.2, 24.89, 736.25], ['芯联集成', 1.19, 111.48, 733.51], ['水晶光电', 1.15, 26.74, 707.01], ['亨通光电', 1.13, 30.21, 693.92], ['杰瑞股份', 1.12, 12.39, 690.12], ['宏发股份', 1.1, 25.6, 674.82], ['中科创达', 1.09, 8.64, 671.16], ['广联达', 1.06, 46.57, 654.77]]"
015454,简称缺失,,,,,,,,,,,"[['西部矿业', 1.52, 102.26, 2249.72], ['国金证券', 1.32, 191.41, 1958.12], ['胜宏科技', 1.27, 6.62, 1890.01], ['华工科技', 1.21, 19.47, 1800.59], ['当升科技', 1.2, 26.92, 1787.22], ['财通证券', 1.16, 204.99, 1726.02], ['国联民生', 1.1, 146.75, 1639.2], ['芯联集成', 1.1, 247.76, 1630.27], ['顾家家居', 1.08, 53.1, 1602.03], ['网宿科技', 1.06, 136.24, 1572.21]]"
015152,爬取失败,,,,,,,,,,,[]
015144,简称缺失,,,,,,,,,,,"[['恒玄科技', 9.9, 51.92, 15445.07], ['中芯国际', 9.21, 197.85, 14369.85], ['澜起科技', 6.82, 68.71, 10636.59], ['理想汽车-W', 6.07, 102.18, 9459.82], ['阿里巴巴-W', 5.52, 53.24, 8603.58], ['腾讯控股', 4.85, 12.49, 7560.32], ['九方智投控股', 4.25, 97.35, 6630.51], ['翱捷科技', 4.04, 57.04, 6302.8], ['药康生物', 3.67, 316.91, 5723.33], ['晶晨股份', 3.16, 44.39, 4935.49]]"
015039,简称缺失,,,,,,,,,,,"[['宁德时代', 3.99, 55.0, 22110.0], ['长川科技', 3.05, 170.0, 16935.4], ['水晶光电', 2.38, 500.0, 13220.0], ['中国人寿', 2.18, 305.0, 12090.2], ['中芯国际', 2.02, 80.0, 11210.4], ['双良节能', 1.91, 1750.0, 10587.5], ['中际旭创', 1.89, 26.0, 10495.68], ['中天科技', 1.77, 520.0, 9838.4], ['以岭药业', 1.7, 595.0, 9454.61], ['寒武纪', 1.67, 7.0, 9275.0]]"
014985,简称缺失,,,,,,,,,,,"[['宁德时代', 22.89, 101.24, 40696.71], ['中际旭创', 7.72, 33.99, 13722.01], ['东方财富', 7.51, 492.21, 13348.74], ['新易盛', 7.12, 34.62, 12663.4], ['阳光电源', 5.24, 57.53, 9318.14], ['胜宏科技', 3.86, 24.05, 6866.28], ['汇川技术', 3.68, 78.18, 6552.68], ['迈瑞医疗', 2.98, 21.59, 5303.93], ['亿纬锂能', 2.54, 49.63, 4516.74], ['同花顺', 1.68, 8.04, 2988.66]]"
014954,简称缺失,,,,,,,,,,,"[['华勤技术', 8.16, 111.86, 11785.43], ['佰维存储', 5.36, 74.25, 7744.06], ['歌尔股份', 4.4, 169.51, 6356.63], ['华虹公司', 3.98, 50.15, 5745.24], ['晶晨股份', 3.59, 46.65, 5186.34], ['江淮汽车', 3.53, 94.46, 5091.39], ['兆易创新', 3.08, 20.87, 4451.57], ['恒玄科技', 1.91, 9.3, 2765.41], ['炬芯科技', 1.91, 44.35, 2758.81], ['欣旺达', 1.84, 78.76, 2661.3]]"
014855,简称缺失,,,,,,,,,,,"[['中微公司', 9.74, 130.65, 39063.64], ['北方华创', 9.7, 85.98, 38894.46], ['寒武纪', 9.29, 28.13, 37270.4], ['中芯国际', 9.28, 265.47, 37200.96], ['海光信息', 7.84, 124.49, 31445.8], ['长川科技', 5.19, 208.93, 20814.09], ['华海清科', 5.18, 125.8, 20782.52], ['拓荆科技', 4.8, 74.01, 19255.64], ['中科飞测', 3.34, 115.48, 13398.99], ['南大光电', 3.12, 288.15, 12511.61]]"
014728,简称缺失,,,,,,,,,,,"[['新易盛', 9.27, 107.05, 39154.43], ['工业富联', 9.22, 589.79, 38931.99], ['中际旭创', 6.62, 69.2, 27936.31], ['深南电路', 5.89, 114.72, 24853.2], ['欣旺达', 4.58, 572.26, 19336.67], ['沪电股份', 4.43, 254.4, 18690.57], ['腾讯控股', 3.93, 27.41, 16591.43], ['大族激光', 2.5, 258.93, 10541.02], ['ST华通', 2.04, 416.81, 8632.05], ['中天科技', 1.95, 435.68, 8242.97]]"
014662,简称缺失,,,,,,,,,,,[]
014642,简称缺失,,,,,,,,,,,"[['宁德时代', 9.48, 227.31, 91378.74], ['东山精密', 8.33, 1123.7, 80344.6], ['胜宏科技', 8.28, 279.67, 79846.84], ['亿纬锂能', 7.97, 844.82, 76878.43], ['新易盛', 7.94, 209.4, 76592.13], ['中际旭创', 7.47, 178.54, 72074.88], ['华友钴业', 3.36, 492.11, 32430.27], ['徐工机械', 3.17, 2654.76, 30529.74], ['洛阳钼业', 3.04, 1869.04, 29343.91], ['艾力斯', 2.87, 251.22, 27694.85]]"
014544,简称缺失,,,,,,,,,,,"[['中际旭创', 10.12, 54.11, 11391.24], ['新易盛', 10.0, 60.4, 11258.37], ['腾讯控股', 8.53, 18.56, 9598.36], ['阿里巴巴-W', 7.73, 81.94, 8698.72], ['中科曙光', 5.45, 89.06, 6137.99], ['金山办公', 3.88, 14.1, 4364.94], ['金蝶国际', 3.23, 215.9, 3637.33], ['浪潮信息', 3.08, 62.73, 3468.34], ['恒生电子', 2.85, 92.12, 3213.29], ['紫光股份', 2.7, 121.87, 3034.56]]"
014377,简称缺失,,,,,,,,,,,"[['豪威集团', 9.35, 49.5, 7482.92], ['德赛西威', 9.26, 49.0, 7410.27], ['立讯精密', 8.89, 110.0, 7115.9], ['小鹏汽车-W', 8.82, 83.0, 7058.66], ['理想汽车-W', 8.21, 71.0, 6572.91], ['拓普集团', 7.18, 71.0, 5750.29], ['兆易创新', 5.33, 20.0, 4266.0], ['伯特利', 5.05, 75.0, 4041.75], ['华阳集团', 4.99, 118.0, 3995.48], ['瑞芯微', 4.79, 17.0, 3834.35]]"
014345,简称缺失,,,,,,,,,,,"[['乐普医疗', 1.53, 92.49, 1620.42], ['国联民生', 1.49, 140.68, 1571.4], ['中科创达', 1.44, 19.64, 1525.64], ['璞泰来', 1.44, 49.03, 1516.01], ['九号公司', 1.41, 22.21, 1485.51], ['晶晨股份', 1.4, 13.28, 1476.47], ['完美世界', 1.39, 76.6, 1467.66], ['横店东磁', 1.36, 70.15, 1437.37], ['西部超导', 1.3, 21.09, 1372.75], ['安琪酵母', 1.22, 32.6, 1289.33]]"
014320,简称缺失,,,,,,,,,,,"[['江波龙', 5.98, 120.0, 21363.6], ['中芯国际', 5.49, 270.0, 19610.1], ['兆易创新', 5.37, 90.0, 19197.0], ['澜起科技', 4.86, 112.24, 17374.41], ['胜宏科技', 4.77, 59.69, 17041.5], ['海光信息', 4.45, 63.0, 15913.8], ['芯原股份', 4.35, 85.0, 15555.0], ['寒武纪', 4.35, 11.72, 15534.96], ['佰维存储', 4.33, 148.37, 15474.55], ['乐鑫科技', 4.25, 70.0, 15180.2]]"
014243,简称缺失,,,,,,,,,,,"[['拓普集团', 8.61, 205.09, 16610.4], ['新易盛', 8.22, 43.33, 15848.81], ['三花智控', 7.72, 307.47, 14890.76], ['中际旭创', 7.05, 33.66, 13587.87], ['北特科技', 6.58, 230.14, 12687.62], ['峰岹科技', 6.37, 50.48, 12278.09], ['浙江荣泰', 4.32, 73.93, 8323.07], ['寒武纪', 3.04, 4.42, 5853.19], ['美湖股份', 2.87, 124.35, 5536.25], ['隆盛科技', 2.66, 81.39, 5124.36]]"
014162,简称缺失,,,,,,,,,,,"[['新易盛', 9.46, 73.52, 26892.87], ['中际旭创', 9.44, 66.49, 26842.5], ['寒武纪', 9.1, 19.53, 25878.84], ['海光信息', 8.11, 91.26, 23053.08], ['麦格米特', 6.93, 254.37, 19705.72], ['工业富联', 6.82, 293.91, 19400.81], ['兴森科技', 6.29, 807.85, 17869.64], ['天孚通信', 5.66, 95.81, 16076.58], ['盛科通信', 5.19, 116.53, 14743.58], ['中科曙光', 5.12, 121.99, 14547.31]]"
014156,简称缺失,,,,,,,,,,,"[['胜宏科技', 1.34, 16.69, 4765.0], ['高德红外', 1.14, 328.29, 4054.35], ['中科创达', 1.14, 52.14, 4050.24], ['广东宏大', 1.14, 91.83, 4049.7], ['芯联集成', 1.12, 602.67, 3965.58], ['全志科技', 1.01, 69.42, 3597.5], ['四川长虹', 1.01, 342.59, 3586.92], ['长川科技', 1.0, 35.75, 3561.42], ['中金岭南', 0.99, 618.96, 3528.06], ['光弘科技', 0.97, 118.09, 3450.51]]"
014143,简称缺失,,,,,,,,,,,"[['中芯国际', 9.94, 1185.0, 166054.05], ['兆易创新', 9.3, 729.0, 155495.7], ['海光信息', 9.29, 615.0, 155349.0], ['寒武纪', 8.72, 110.0, 145750.0], ['中微公司', 8.05, 450.0, 134545.5], ['翱捷科技', 7.94, 1200.49, 132653.85], ['思瑞浦', 6.43, 620.0, 107470.8], ['华虹公司', 6.37, 930.0, 106540.8], ['中科曙光', 6.21, 870.0, 103747.5], ['瑞芯微', 5.92, 439.0, 99016.45]]"
014130,简称缺失,,,,,,,,,,,"[['中际旭创', 12.15, 51.74, 20884.43], ['新易盛', 11.81, 55.53, 20309.78], ['科大讯飞', 7.08, 217.24, 12176.1], ['中科曙光', 6.27, 90.41, 10781.77], ['浪潮信息', 4.36, 100.81, 7502.5], ['金山办公', 4.18, 22.7, 7183.51], ['紫光股份', 3.43, 195.66, 5904.89], ['恒生电子', 2.96, 147.68, 5097.78], ['润和软件', 2.73, 77.55, 4699.53], ['拓维信息', 2.06, 97.84, 3535.94]]"
013841,简称缺失,,,,,,,,,,,"[['拓荆科技', 9.69, 209.32, 53426.22], ['华海清科', 9.64, 321.9, 53178.14], ['中微公司', 9.56, 176.21, 52683.71], ['芯源微', 9.46, 350.17, 52174.63], ['富创精密', 9.43, 700.0, 51996.0], ['北方华创', 9.01, 109.85, 49691.75], ['精测电子', 7.75, 544.19, 42729.96], ['中科飞测', 7.59, 360.85, 41869.21], ['中芯国际', 5.93, 450.0, 32682.4], ['华虹公司', 3.85, 185.36, 21235.13]]"
013811,简称缺失,,,,,,,,,,,"[['华电新能', 0.06, 25.46, 134.15], ['屹唐股份', 0.0, 0.35, 8.24], ['汉邦科技', 0.0, 0.02, 0.89], ['威高血净', 0.0, 0.02, 0.77], ['天富龙', 0.0, 0.02, 0.56], ['技源集团', 0.0, 0.02, 0.35], ['海阳科技', 0.0, 0.01, 0.35], ['华新精科', 0.0, 0.01, 0.32]]"
013642,简称缺失,,,,,,,,,,,"[['宁德时代', 3.92, 52.31, 21029.26], ['中兴通讯', 1.36, 159.77, 7291.9], ['汇川技术', 1.24, 79.21, 6639.19], ['海康威视', 1.22, 207.31, 6534.5], ['同花顺', 1.03, 14.85, 5520.38], ['生益科技', 1.0, 98.97, 5346.36], ['瑞芯微', 0.96, 22.74, 5129.01], ['寒武纪', 0.94, 3.82, 5059.38], ['紫光国微', 0.94, 55.96, 5053.75], ['深信服', 0.87, 37.38, 4691.19]]"
