基金代码,日期,最新净值,最大回撤,最大连续下跌,近一周连跌,RSI,当日跌幅,止损退出天数,信号,未来1日收益,未来3日收益,未来5日收益,未来10日收益,未来20日收益
006863,2022-05-17,1.5476,0.0892057283452148,3,3,55.38,-0.0105,,无信号,-0.017778495735332252,-0.0027875420005169828,-0.0398126130783148,0.004046265184802282,0.014061773067976128
006863,2022-07-20,1.5451,0.10369318181818184,3,3,15.51,-0.0008,,无信号,-0.027555821629667895,-0.030079930101611467,-0.02684389359911979,-0.07425118115332341,-0.026746165296744454
006863,2022-08-08,1.4595,0.14885179924242428,3,3,25.54,-0.0001,,无信号,-0.014109284001370279,0.008227132579650593,0.013091812264474083,0.03330078794107576,0.023571428571428618
006863,2022-08-09,1.4608,0.14885179924242428,4,4,25.54,-0.0009,,无信号,-0.013493975903614472,0.01361445783132519,0.014162102957283658,0.024915115005476347,0.03189759036144567
006863,2022-08-10,1.463,0.14885179924242428,5,4,29.79,-0.0015,,无信号,0.005779220779220766,0.010632262474367646,0.01815105946684893,0.0061414900888584955,0.02336637047163354
006863,2022-08-11,1.4934,0.14408998928698963,6,4,42.94,-0.0208,,无信号,-0.008839560733895892,-0.00830387036293022,-0.016272264631043264,0.003370162046337186,0.003236239453595806
006863,2022-08-12,1.5026,0.14342724402882848,7,4,44.79,-0.0062,,无信号,-0.01639757753227738,-0.00907693331558623,-0.021655131106082796,-0.00466724344469575,0.027876347664049058
006863,2022-11-15,1.4777,0.10627189668200869,3,3,67.42,-0.0129,,无信号,-0.024609528321039444,-0.030294038032076843,-0.038279420721391344,0.02538505786018809,0.04304764160519724
006863,2023-03-23,1.56,0.07445714631343373,3,3,29.58,-0.0032,,无信号,-0.025512820512820493,-0.034294871794871805,-0.017564102564102565,0.0060897435897435065,-0.029935897435897536
006863,2023-10-31,1.4889,0.06043352997667723,3,3,61.57,-0.0011,,无信号,-0.018156692860500992,-0.021179058365235995,-0.005328430384847744,-0.010171603196990946,0.008634226610249318
006863,2023-12-29,1.3856,0.10938224193868769,3,3,40.56,-0.0098,16.0,无信号,-0.015072170900692832,-0.02351616628175522,-0.04581697459584293,-0.051766743648960716,-0.10500000000000001
006863,2024-01-25,1.2403,0.14131140445790966,3,3,28.71,-0.0267,4.0,无信号,-0.028141981778601936,-0.08320930420059663,-0.115,-0.10500000000000001,-0.10500000000000001
006863,2024-02-08,1.153,0.2509557815768593,3,3,38.72,-0.0214,,无信号,-0.011530789245446657,0.022640936686903625,0.037124891587163956,0.06395056374674753,0.08294449262792708
006863,2024-02-19,1.157,0.2509557815768593,4,4,45.49,-0.0035,,无信号,-0.004196197061365639,0.024930855661192755,0.040315471045808175,0.068638720829732,0.0890363007778738
006863,2024-02-20,1.1695,0.2509557815768593,5,4,46.94,-0.0108,,无信号,0.008001282599401388,0.022280889268918413,0.04673578452330059,0.04288371098760158,0.06862120564343742
006863,2024-02-21,1.1964,0.24414034066094042,6,4,48.51,-0.023,,无信号,-0.009316282179872834,0.005561685055165647,-0.014665663657639437,0.027932129722500924,0.051419257773320064
006863,2024-02-22,1.2032,0.2393231265108783,7,4,44.94,-0.0057,,无信号,-0.006771941489361685,0.01699800531914892,0.0002925531914893375,0.0023969414893616255,0.0440359042553191
006863,2024-02-23,1.2131,0.22674808250800507,8,4,48.49,-0.0082,,无信号,-0.008487758634902302,-0.028436649905201533,0.0009920863902397672,0.006128513725166799,0.015196191575302914
006863,2024-02-26,1.221,0.21789560894780455,9,4,53.93,-0.0065,,无信号,0.0019533169533169047,-0.014508599508599562,0.002362817362817269,0.02292792792792794,-0.0036076986076987614
